i_manufact_id|total_sales
930|28763.82
774|36490.78
915|42946.90
997|43857.01
817|44327.13
806|45045.74
992|47425.48
796|48142.61
697|48212.28
906|51418.29
818|53508.24
967|53990.37
846|54343.22
784|54869.85
748|55972.33
944|56400.98
956|60095.16
886|60259.27
969|61278.71
745|61508.63
936|61964.72
711|61987.00
957|62225.35
708|62309.86
990|63396.71
717|63531.61
935|64217.43
876|64450.33
960|64741.37
834|64850.02
925|66421.37
676|67477.64
857|68104.66
916|68247.89
789|69916.89
863|70921.15
895|70990.68
790|71241.42
898|71275.50
963|71612.54
977|72269.87
702|72490.89
999|72601.68
739|73006.61
921|73867.78
744|73931.23
907|75233.46
680|76107.49
848|76658.91
808|76900.55
855|77596.62
903|77798.91
980|77960.83
830|78024.61
803|78038.01
710|78863.45
732|79994.06
738|80185.10
815|80536.78
782|80576.46
740|80746.48
998|81169.50
984|81468.60
979|81649.83
681|82105.33
850|82137.10
927|82833.62
880|83058.68
729|83297.77
875|85189.38
820|85276.45
988|85339.33
941|85528.89
686|86164.71
719|86676.71
715|86703.20
772|87159.23
900|87553.22
734|88457.78
866|88736.10
902|88985.95
690|89193.28
867|89268.81
755|89418.84
826|89495.27
821|89748.57
868|90135.59
707|90281.16
913|90422.61
861|90513.69
847|90523.28
973|90966.39
975|91258.13
709|91763.08
923|91881.51
843|92097.35
695|92113.10
753|93134.54
964|93144.35
904|93655.23
