i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Music|edu packscholar #1|able|Unknown|1999|4|41126.86083333333|20209.93|23547.32|26296.83
Children|importoexporti #1|eing|Unknown|1999|6|39082.5125|18371.26|21504.73|24517.28
Shoes|exportiedu pack #1|able|Unknown|1999|2|41452.365|21300.26|28754.84|24920.49
Children|exportiexporti #1|ese|Unknown|1999|2|40172.996666666666|20281.88|27872.59|23090.47
Shoes|amalgedu pack #1|bar|Unknown|1999|2|39259.76|19372.42|26186.97|22517.89
Women|amalgamalg #1|able|Unknown|1999|4|38549.21|18707.14|21996.23|20259.65
Music|exportischolar #1|eing|Unknown|1999|2|38027.32916666667|18291.49|29240.76|20997.36
Women|importoamalg #1|ese|Unknown|1999|2|38432.7375|18737.11|24574.03|21676.73
Music|edu packscholar #1|bar|Unknown|1999|5|41105.97|21426.81|24781.04|26066.56
Women|exportiamalg #1|ese|Unknown|1999|2|38199.230833333335|18641.49|25820.78|23911.89
Shoes|edu packedu pack #1|bar|Unknown|1999|2|39197.22|19654.67|27399.88|23595.54
Music|importoscholar #1|eing|Unknown|1999|4|38882.87333333334|19343.46|22552.38|23040.12
Shoes|edu packedu pack #1|ese|Unknown|1999|3|38539.18916666666|19072.69|19483.11|23607.92
Shoes|exportiedu pack #1|eing|Unknown|1999|3|41042.77916666667|21675.46|21680.49|24750.38
Shoes|exportiedu pack #1|eing|Unknown|1999|2|41042.77916666667|21680.49|30636.52|21675.46
Children|importoexporti #1|bar|Unknown|1999|6|40023.13916666667|20661.04|22727.88|23233.73
Music|edu packscholar #1|ese|Unknown|1999|2|40512.92333333333|21159.52|27228.10|24662.79
Children|exportiexporti #1|able|Unknown|1999|4|38746.555|19417.04|21461.80|24360.53
Women|exportiamalg #1|able|Unknown|1999|3|38255.049166666664|18931.67|19048.98|23021.59
Shoes|amalgedu pack #1|able|Unknown|1999|2|40550.295|21229.79|28182.70|23689.79
Children|importoexporti #1|eing|Unknown|1999|2|39082.5125|19774.08|29021.83|20901.78
Shoes|exportiedu pack #1|ese|Unknown|1999|2|40996.1175|21717.27|28024.95|23622.65
Shoes|exportiedu pack #1|bar|Unknown|1999|2|40511.285|21269.84|29645.20|22724.74
Shoes|edu packedu pack #1|eing|Unknown|1999|2|39371.666666666664|20133.77|28235.90|23535.54
Men|edu packimporto #1|bar|Unknown|1999|2|40307.590833333335|21079.37|26821.99|23237.02
Women|exportiamalg #1|able|Unknown|1999|2|38255.049166666664|19048.98|27659.87|18931.67
Music|importoscholar #1|able|Unknown|1999|2|38965.9775|19777.47|26174.71|21878.44
Music|edu packscholar #1|eing|Unknown|1999|3|40961.73333333333|21870.89|22628.47|22240.76
Shoes|edu packedu pack #1|ese|Unknown|1999|2|38539.18916666666|19483.11|28778.04|19072.69
Music|importoscholar #1|eing|Unknown|1999|2|38882.87333333334|19846.94|28168.02|22552.38
Shoes|edu packedu pack #1|eing|Unknown|1999|4|39371.666666666664|20343.50|23535.54|22609.93
