channel|id|sales|returns_|profit
NULL|NULL|1143646603.07|30626975.48|-317526984.52
catalog channel|NULL|393609478.06|9461247.56|-44787514.37
catalog channel|catalog_pageAAAAAAAAAAABAAAA|0.00|38578.36|-25239.02
catalog channel|catalog_pageAAAAAAAAAABBAAAA|0.00|1843.58|-1180.49
catalog channel|catalog_pageAAAAAAAAAADBAAAA|979451.88|1795.65|-29460.90
catalog channel|catalog_pageAAAAAAAAABABAAAA|1695425.02|18391.45|-262558.45
catalog channel|catalog_pageAAAAAAAAABBBAAAA|0.00|2278.21|-729.17
catalog channel|catalog_pageAAAAAAAAABCBAAAA|0.00|51.84|-160.98
catalog channel|catalog_pageAAAAAAAAABDBAAAA|737915.96|0.00|-188331.17
catalog channel|catalog_pageAAAAAAAAACABAAAA|1938210.77|31674.40|-211931.18
catalog channel|catalog_pageAAAAAAAAACBBAAAA|0.00|3446.97|-1095.74
catalog channel|catalog_pageAAAAAAAAACCBAAAA|0.00|1901.55|-1157.93
catalog channel|catalog_pageAAAAAAAAACDBAAAA|47635.31|0.00|-17682.16
catalog channel|catalog_pageAAAAAAAAACJAAAAA|0.00|41.18|-100.81
catalog channel|catalog_pageAAAAAAAAADABAAAA|1749182.67|8776.37|-116691.35
catalog channel|catalog_pageAAAAAAAAADBBAAAA|0.00|8073.21|-3143.07
catalog channel|catalog_pageAAAAAAAAADCBAAAA|0.00|7259.85|-4688.39
catalog channel|catalog_pageAAAAAAAAADDBAAAA|36258.86|0.00|-10313.78
catalog channel|catalog_pageAAAAAAAAADJAAAAA|0.00|7671.88|-3319.40
catalog channel|catalog_pageAAAAAAAAAEABAAAA|1750051.58|21076.19|-175577.25
catalog channel|catalog_pageAAAAAAAAAEBBAAAA|0.00|874.04|-432.28
catalog channel|catalog_pageAAAAAAAAAEDBAAAA|41558.23|0.00|-13246.23
catalog channel|catalog_pageAAAAAAAAAEIAAAAA|0.00|387.08|-240.92
catalog channel|catalog_pageAAAAAAAAAEJAAAAA|0.00|14002.84|-9902.65
catalog channel|catalog_pageAAAAAAAAAFABAAAA|1721090.34|13247.86|-149861.51
