i_item_desc|w_warehouse_name|d_week_seq|no_promo|promo|total_cnt
NULL|National, comple|5217|0|3|3
Aspects should read straight serious organisations; geographical, long forces wonder fo|NULL|5217|0|3|3
British|Doors canno|5216|0|3|3
Civil, soft children take also restrictio|Important issues liv|5217|0|3|3
Final areas cancel additionally rather available imports. Popular defendants must not drive drawings.|Plain, reluctant|5211|0|3|3
Gross, young teachers shall know. Independent officers look by the connections. Figures should not explain also with the regions. Minutes wa|Local, mass universi|5218|0|3|3
Parameters breathe. Then regio|Important issues liv|5210|0|3|3
Parameters breathe. Then regio|Rooms cook |5210|0|3|3
Points should create with a teams. Papers buy now papers. Just right users get especially companies. Public, full decisions will not start. Approaches|Doors canno|5210|0|3|3
Policies detail. Concentrations take operations; thus top days pro|Doors canno|5212|0|3|3
Seemingly private deaths go even social, main newspapers. Precious tec|Bad cards must make.|5210|0|3|3
Tactics run then processes. Only students use unlike, poor genes. Rates help pensioners. Very social studies might know thoroughly arrangements. Later chief emis|National, comple|5200|0|3|3
Very busy tonnes go better by now happy ears. Stiffly critical hours bring high, essential waves. Payable, able feelings find at the concentrations. Active, positive officials should prove |Important issues liv|5215|0|3|3
NULL|NULL|5185|0|2|2
NULL|NULL|5214|0|2|2
NULL|Bad cards must make.|5187|0|2|2
NULL|Bad cards must make.|5212|0|2|2
NULL|Conventional childr|5187|0|2|2
NULL|Local, mass universi|5187|0|2|2
NULL|Rooms cook |5176|0|2|2
NULL|Rooms cook |5211|0|2|2
A|Conventional childr|5201|0|2|2
A|Important issues liv|5215|0|2|2
Able, corporate notes |National, comple|5212|0|2|2
About enthusiastic options must happen before a |Rooms cook |5214|0|2|2
Accidents think|Doors canno|5204|0|2|2
Accidents think|Local, mass universi|5204|0|2|2
Accounts can imply things. Once again permanent systems used to eat for a cases; germans represent particular examples. Also important businesses must introduce firmly. Historical, real comparisons co|Conventional childr|5200|0|2|2
Accused men cannot increase e|Doors canno|5216|0|2|2
Actual, afraid nations suggest easier full deta|Quite effectiv|5206|0|2|2
Again central walls must ensure so crucial, labour weekends; appropriate aspects bear feet. Remarkable arm|Plain, reluctant|5210|0|2|2
Ago interesting clothes set only with the pressures. Deep|Rooms cook |5211|0|2|2
Ago remote horses would belong tropical notes; solely bitter changes ought to appear also. Local, special clothes must count far. Clearly tall walls would recei|Important issues liv|5204|0|2|2
Ago remote horses would belong tropical notes; solely bitter changes ought to appear also. Local, special clothes must count far. Clearly tall walls would recei|Local, mass universi|5204|0|2|2
Ago remote horses would belong tropical notes; solely bitter changes ought to appear also. Local, special clothes must count far. Clearly tall walls would recei|Rooms cook |5204|0|2|2
Alone able players dance for a experiences. Differences might|Bad cards must make.|5215|0|2|2
Alone temporary minutes should report almost busy, different authorities. Regions could vote much. |Important issues liv|5218|0|2|2
