channel|id|sales|returns_|profit
NULL|NULL|15382733178.54|301835463.68|-2081065258.41
catalog channel|NULL|13836081203.54|258857510.99|-1522379791.48
catalog channel|NULL|18064336.17|19912116.23|-15457083.57
catalog channel|1|1141302103.62|19912116.23|-128717576.55
catalog channel|2|1170638600.55|19912116.23|-124346602.34
catalog channel|5|1133775492.00|19912116.23|-125129260.24
catalog channel|7|1155925949.87|19912116.23|-132972731.80
catalog channel|8|1168707262.34|19912116.23|-114176698.63
catalog channel|11|1075323583.14|19912116.23|-116503327.98
catalog channel|13|1198676057.61|19912116.23|-129297264.65
catalog channel|14|1148810271.60|19912116.23|-117279014.18
catalog channel|17|1189516315.83|19912116.23|-132589952.83
catalog channel|19|1144522865.65|19912116.23|-124333673.16
catalog channel|20|1165559007.69|19912116.23|-128176937.28
catalog channel|23|1125259357.47|19912116.23|-133399668.27
store channel|NULL|1133017780.66|31941420.20|-509736547.84
store channel|1|22200413.90|627689.97|-10139129.61
store channel|2|20762763.54|604496.57|-9446442.79
store channel|4|21106980.44|666445.78|-9872221.32
store channel|7|22892467.60|617157.28|-9940685.01
store channel|8|22961725.22|654125.49|-10461507.46
store channel|10|21420020.78|668165.97|-9457068.03
store channel|13|23565911.86|622599.71|-10620040.54
store channel|14|22229474.62|621572.62|-9728584.24
store channel|16|22423731.07|593789.64|-10150577.69
store channel|19|23683834.63|606663.01|-10626043.70
store channel|20|22412802.26|572138.61|-10187038.54
store channel|22|22839658.92|583614.57|-10036345.29
store channel|25|23759867.36|651054.31|-10361052.97
store channel|26|21747920.01|649737.37|-10241342.67
store channel|28|22116887.45|680810.61|-9956446.91
store channel|31|22663685.11|623256.08|-10189859.84
store channel|32|23325707.33|678872.73|-10457712.55
store channel|34|20900347.28|613869.76|-9133100.60
store channel|37|22961010.25|657961.62|-10004928.06
store channel|38|23917616.38|665745.48|-10607665.60
store channel|40|22417254.50|685732.86|-9908543.69
store channel|43|22488807.30|591897.16|-10097924.47
store channel|44|21833070.20|653104.15|-10158019.47
store channel|46|22307788.04|628288.35|-9975751.03
store channel|49|22513970.33|592252.70|-10115022.48
store channel|50|21273401.51|706589.53|-9710755.21
store channel|52|20934636.67|568501.64|-9218270.59
store channel|55|22239493.98|640186.74|-10148652.36
store channel|56|21904763.45|586256.75|-9479777.83
store channel|58|21614834.53|554304.50|-9916216.17
store channel|61|22934332.93|558862.93|-10505774.19
store channel|62|21172105.31|583632.79|-9678478.55
store channel|64|23224483.22|584352.30|-10420856.89
store channel|67|22830263.06|564601.34|-10178612.49
store channel|68|21275625.16|614425.37|-9239340.06
store channel|70|20899034.32|639242.62|-9273050.27
store channel|73|21710293.47|607860.47|-9745924.94
store channel|74|22622203.58|666602.01|-10280928.63
store channel|76|20700280.57|610873.65|-9433770.85
store channel|79|21539002.88|511768.46|-10184192.35
store channel|80|23179616.30|656470.13|-10524679.28
store channel|82|21653404.77|645262.52|-10150011.60
store channel|85|23950774.93|602301.63|-10521763.04
store channel|86|22057539.23|638994.85|-9782428.28
store channel|88|22051377.06|660281.44|-9926551.26
store channel|91|21445907.01|655842.41|-9971799.13
store channel|92|21686870.88|639076.49|-9596606.37
store channel|94|20966129.56|658098.88|-9570696.95
store channel|97|23104321.33|695090.64|-9889427.08
store channel|98|22934384.31|652110.73|-10668901.19
store channel|100|21658984.26|628786.98|-9846027.72
web channel|NULL|413634194.34|11036532.49|-48948919.09
web channel|1|4143403.54|181285.19|-500257.48
web channel|2|3992310.33|134817.88|-500700.69
web channel|5|4156671.60|59718.95|-459386.84
web channel|7|4064179.20|138722.80|-593838.30
web channel|8|4091992.96|127781.48|-452259.52
web channel|11|4050589.84|73947.73|-507044.61
web channel|13|4356613.59|74266.36|-364824.40
web channel|14|4094045.40|89355.29|-378006.67
web channel|17|3956772.93|60362.99|-600283.36
web channel|19|3919935.83|166093.58|-570608.26
web channel|20|4227201.15|165039.52|-594157.24
web channel|23|4340380.53|89889.54|-344689.77
web channel|25|4127296.34|129942.66|-467451.91
web channel|26|4074640.09|135908.12|-424182.53
web channel|29|3843953.78|78605.41|-615283.35
web channel|31|4173377.98|103658.28|-535728.76
web channel|32|3921989.83|129464.00|-465470.50
web channel|35|4202947.49|44925.48|-382565.18
web channel|37|3984367.31|140782.29|-604072.24
web channel|38|4275555.20|161414.99|-553735.70
web channel|41|4310695.53|61719.05|-413683.51
web channel|43|4033038.77|91047.49|-600134.57
web channel|44|4162317.08|137090.35|-480395.33
web channel|47|4039464.51|69515.19|-517764.35
web channel|49|3813823.39|93515.01|-579308.85
web channel|50|4071685.50|130289.41|-542932.98
web channel|53|3927646.48|100859.30|-492057.80
web channel|55|4165387.96|108670.73|-343095.61
web channel|56|3925213.34|189490.93|-471264.36
web channel|59|4084315.73|81902.89|-510764.12
web channel|61|4557775.66|146755.02|-383611.89
web channel|62|4258794.80|106037.05|-507591.96
