item_sk|d_date|web_sales|store_sales|web_cumulative|store_cumulative
1|2000-03-24|474.34|NULL|474.34|377.63
1|2000-03-31|NULL|402.63|474.34|402.63
1|2000-04-01|NULL|426.12|474.34|426.12
1|2000-04-09|573.66|NULL|573.66|489.30
1|2000-04-12|NULL|509.34|573.66|509.34
1|2000-04-13|NULL|512.49|573.66|512.49
1|2000-04-25|NULL|531.87|573.66|531.87
1|2000-04-27|NULL|546.26|573.66|546.26
1|2000-05-09|NULL|551.55|573.66|551.55
1|2000-05-30|745.50|NULL|745.50|744.03
1|2000-06-02|756.49|NULL|756.49|744.03
7|2000-01-02|NULL|8.40|32.42|8.40
11|2000-04-13|495.67|NULL|495.67|425.71
11|2000-04-15|NULL|476.44|495.67|476.44
19|2000-01-01|11.89|7.18|11.89|7.18
20|2000-01-02|53.35|NULL|53.35|35.49
20|2000-01-05|NULL|35.79|53.35|35.79
25|2000-01-02|37.76|27.71|37.76|27.71
25|2000-01-04|75.69|NULL|75.69|27.71
25|2000-01-08|92.95|NULL|92.95|27.71
31|2000-01-02|24.32|19.47|24.32|19.47
31|2000-01-23|69.94|NULL|69.94|19.47
31|2000-02-01|NULL|22.17|69.94|22.17
31|2000-02-02|NULL|50.12|69.94|50.12
31|2000-02-05|181.77|NULL|181.77|99.79
32|2000-01-11|NULL|21.65|65.56|21.65
32|2000-01-12|NULL|63.37|65.56|63.37
35|2000-01-13|234.15|NULL|234.15|42.75
35|2000-01-20|NULL|72.49|234.15|72.49
35|2000-01-21|NULL|153.17|234.15|153.17
35|2000-02-11|263.80|NULL|263.80|261.10
41|2000-01-03|201.57|42.47|201.57|42.47
41|2000-01-04|NULL|69.32|201.57|69.32
41|2000-01-05|216.73|NULL|216.73|69.32
41|2000-01-06|NULL|120.55|216.73|120.55
49|2000-03-05|245.12|NULL|245.12|191.62
49|2000-03-15|NULL|236.64|245.12|236.64
49|2000-03-29|276.78|NULL|276.78|236.64
50|2000-02-03|117.98|NULL|117.98|94.34
50|2000-02-06|NULL|116.01|117.98|116.01
50|2000-02-20|172.06|NULL|172.06|161.80
50|2000-03-11|260.04|235.74|260.04|235.74
50|2000-03-25|264.24|243.09|264.24|243.09
50|2000-03-26|NULL|243.89|264.24|243.89
50|2000-05-01|345.59|NULL|345.59|334.32
59|2000-01-05|84.36|NULL|84.36|30.94
59|2000-01-11|NULL|58.95|84.36|58.95
62|2000-01-22|116.35|NULL|116.35|76.98
62|2000-01-27|NULL|78.41|116.35|78.41
68|2000-01-10|NULL|13.38|15.46|13.38
68|2000-01-12|NULL|15.31|15.46|15.31
68|2000-01-28|72.09|NULL|72.09|57.71
68|2000-02-09|NULL|68.50|72.09|68.50
71|2000-02-01|138.73|128.06|138.73|128.06
74|2000-01-03|61.68|55.39|61.68|55.39
74|2000-01-04|77.52|NULL|77.52|55.39
74|2000-01-07|146.78|NULL|146.78|55.39
74|2000-01-16|212.09|NULL|212.09|55.39
74|2000-01-17|NULL|86.78|212.09|86.78
74|2000-02-02|NULL|117.94|212.09|117.94
74|2000-02-04|NULL|150.23|212.09|150.23
74|2000-02-05|NULL|152.70|212.09|152.70
74|2000-03-21|395.94|NULL|395.94|387.68
74|2000-03-24|469.21|458.87|469.21|458.87
74|2000-03-27|NULL|461.25|469.21|461.25
74|2000-06-30|981.28|NULL|981.28|967.04
74|2000-07-07|1132.05|NULL|1132.05|991.48
74|2000-07-13|1134.43|995.88|1134.43|995.88
74|2000-08-03|NULL|995.88|1134.43|995.88
74|2000-08-04|1162.53|NULL|1162.53|995.88
74|2000-08-05|1311.98|NULL|1311.98|995.88
74|2000-08-06|1369.71|NULL|1369.71|995.88
74|2000-08-07|NULL|1018.35|1369.71|1018.35
74|2000-08-08|NULL|1091.85|1369.71|1091.85
74|2000-08-10|NULL|1096.25|1369.71|1096.25
74|2000-08-11|NULL|1109.23|1369.71|1109.23
74|2000-08-12|1372.32|1111.67|1372.32|1111.67
74|2000-08-13|1479.72|1149.29|1479.72|1149.29
74|2000-08-15|NULL|1197.68|1479.72|1197.68
74|2000-08-16|NULL|1285.06|1479.72|1285.06
74|2000-08-17|1564.82|NULL|1564.82|1285.06
74|2000-08-24|1571.29|NULL|1571.29|1285.06
74|2000-08-25|NULL|1285.06|1571.29|1285.06
74|2000-08-28|NULL|1317.29|1571.29|1317.29
74|2000-08-29|NULL|1346.05|1571.29|1346.05
74|2000-08-30|1686.83|NULL|1686.83|1346.05
74|2000-08-31|NULL|1398.13|1686.83|1398.13
74|2000-09-02|NULL|1418.09|1686.83|1418.09
74|2000-09-03|NULL|1445.48|1686.83|1445.48
74|2000-09-05|1772.21|NULL|1772.21|1445.48
74|2000-09-06|NULL|1460.81|1772.21|1460.81
74|2000-09-12|NULL|1462.41|1772.21|1462.41
74|2000-09-14|NULL|1482.75|1772.21|1482.75
74|2000-09-16|NULL|1624.77|1772.21|1624.77
74|2000-09-18|NULL|1635.99|1772.21|1635.99
74|2000-09-20|1812.22|NULL|1812.22|1635.99
74|2000-09-24|1900.09|NULL|1900.09|1635.99
74|2000-09-26|1920.86|NULL|1920.86|1635.99
74|2000-09-27|NULL|1650.03|1920.86|1650.03
74|2000-10-01|NULL|1699.54|1920.86|1699.54
