c_last_name|c_first_name|"""substring""(s_city, 1, 30)"|ss_ticket_number|amt|profit
NULL|NULL|Fairview|57522|NULL|NULL
NULL|NULL|Fairview|442007|NULL|NULL
NULL|NULL|Fairview|721206|NULL|NULL
NULL|NULL|Fairview|1693357|0.00|NULL
NULL|NULL|Fairview|2198207|NULL|NULL
NULL|NULL|Fairview|2319087|NULL|NULL
NULL|NULL|Fairview|66221|10994.09|-28462.03
NULL|NULL|Fairview|1526556|12953.07|-26938.67
NULL|NULL|Fairview|281061|4949.35|-24874.06
NULL|NULL|Fairview|2184148|2658.50|-24663.93
NULL|NULL|Fairview|1148501|2961.78|-23940.19
NULL|NULL|Fairview|1422906|1570.83|-23905.32
NULL|NULL|Fairview|2368307|3787.01|-23255.19
NULL|NULL|Fairview|1171035|519.37|-22496.69
NULL|NULL|Fairview|122732|8490.39|-21279.11
NULL|NULL|Fairview|1820418|611.33|-21031.21
NULL|NULL|Fairview|1726108|2832.62|-20276.70
NULL|NULL|Fairview|1403165|9832.01|-20155.91
NULL|NULL|Fairview|1159434|7551.52|-19960.21
NULL|NULL|Fairview|397095|3014.67|-19522.60
NULL|NULL|Fairview|957174|161.78|-19333.13
NULL|NULL|Fairview|1275196|1806.31|-19022.97
NULL|NULL|Fairview|589965|0.00|-19017.61
NULL|NULL|Fairview|1698961|80.61|-18540.14
NULL|NULL|Fairview|2367226|27.09|-18161.04
NULL|NULL|Fairview|1512066|2121.24|-18153.16
NULL|NULL|Fairview|546515|2339.66|-18080.58
NULL|NULL|Fairview|24368|2218.18|-18027.77
NULL|NULL|Fairview|1439863|7778.54|-17798.51
NULL|NULL|Fairview|1460926|5821.64|-17503.25
NULL|NULL|Fairview|514083|7762.24|-17339.46
NULL|NULL|Fairview|2208159|7516.90|-17094.77
NULL|NULL|Fairview|1808086|1711.88|-16898.32
NULL|NULL|Fairview|675893|4515.46|-16710.61
NULL|NULL|Fairview|2276486|3762.13|-16429.54
NULL|NULL|Fairview|1489994|3998.65|-16167.42
NULL|NULL|Fairview|31707|1597.12|-16165.15
NULL|NULL|Fairview|1814674|16.67|-15916.37
NULL|NULL|Fairview|706828|0.00|-15865.96
NULL|NULL|Fairview|244479|3927.88|-15862.55
NULL|NULL|Fairview|1374892|2356.50|-15713.36
NULL|NULL|Fairview|2345363|267.43|-15260.23
NULL|NULL|Fairview|944715|564.88|-15210.36
NULL|NULL|Fairview|1188549|58.50|-14957.42
NULL|NULL|Fairview|211112|4859.43|-14894.44
NULL|NULL|Fairview|740091|4082.93|-14738.37
NULL|NULL|Fairview|34019|2806.95|-14676.35
NULL|NULL|Fairview|1990044|89.69|-14497.63
NULL|NULL|Fairview|36982|3814.46|-14482.31
NULL|NULL|Fairview|1943822|4761.59|-14421.18
NULL|NULL|Fairview|355138|4366.76|-14337.07
NULL|NULL|Fairview|1341154|2716.35|-14308.15
NULL|NULL|Fairview|2331309|2710.91|-14137.28
NULL|NULL|Fairview|77368|6332.15|-13973.11
NULL|NULL|Fairview|2014405|1441.37|-13967.10
NULL|NULL|Fairview|793713|3173.58|-13891.95
NULL|NULL|Fairview|1588338|6490.70|-13870.75
NULL|NULL|Fairview|2319087|4966.46|-13835.79
NULL|NULL|Fairview|1508526|0.00|-13804.18
NULL|NULL|Fairview|1860800|4825.70|-13755.09
NULL|NULL|Fairview|1826300|2805.63|-13494.73
NULL|NULL|Fairview|1029569|4791.07|-13390.77
NULL|NULL|Fairview|353161|234.23|-13196.52
NULL|NULL|Fairview|248083|4473.88|-13174.76
NULL|NULL|Fairview|28923|1774.52|-12972.37
NULL|NULL|Fairview|1270758|2884.86|-12940.93
NULL|NULL|Fairview|1410453|186.37|-12776.85
NULL|NULL|Fairview|112237|0.00|-12722.76
NULL|NULL|Fairview|562641|3963.08|-12713.95
NULL|NULL|Fairview|245544|2502.53|-12689.04
NULL|NULL|Fairview|2192477|1692.86|-12686.42
NULL|NULL|Fairview|341708|123.37|-12618.74
NULL|NULL|Fairview|691464|1457.81|-12433.86
NULL|NULL|Fairview|1705169|3606.92|-12409.18
NULL|NULL|Fairview|922652|1613.99|-12079.56
NULL|NULL|Fairview|1109965|4982.04|-12072.62
NULL|NULL|Fairview|1131904|3869.50|-12041.99
NULL|NULL|Fairview|2203911|666.34|-11960.05
NULL|NULL|Fairview|1269160|1546.90|-11932.54
NULL|NULL|Fairview|2108064|3763.91|-11883.68
NULL|NULL|Fairview|1122952|0.00|-11880.44
NULL|NULL|Fairview|2131635|0.00|-11842.61
NULL|NULL|Fairview|510934|1537.64|-11816.12
NULL|NULL|Fairview|301082|1240.10|-11721.49
NULL|NULL|Fairview|1392487|0.00|-11605.69
NULL|NULL|Fairview|755633|19.95|-11555.56
NULL|NULL|Fairview|22110|292.16|-11529.30
NULL|NULL|Fairview|1420114|2268.26|-11494.40
NULL|NULL|Fairview|57579|2890.65|-11411.03
NULL|NULL|Fairview|856433|622.84|-11388.96
NULL|NULL|Fairview|516466|714.70|-11380.47
NULL|NULL|Fairview|1308110|275.63|-11287.50
NULL|NULL|Fairview|776884|1304.79|-11269.86
NULL|NULL|Fairview|789657|71.25|-11207.77
NULL|NULL|Fairview|2136338|3102.90|-11173.07
NULL|NULL|Fairview|879720|3951.00|-11025.98
NULL|NULL|Fairview|1946282|516.71|-10991.24
NULL|NULL|Fairview|663730|4817.35|-10984.54
NULL|NULL|Fairview|2367290|0.00|-10864.00
NULL|NULL|Fairview|361964|151.37|-10639.72
