brand_id|brand|i_manufact_id|i_manufact|ext_price
1001001|amalgamalg #1|644|eseesecally|109913.68
5002002|importoscholar #2|503|pribaranti|84863.16
3002002|importoexporti #2|581|oughteinganti|76753.14
3002001|importoexporti #1|67|ationcally|71013.31
4004001|edu packedu pack #1|257|ationantiable|67446.97
1002001|importoamalg #1|243|prieseable|67242.63
7016002|corpnameless #2|131|oughtpriought|65103.56
1003001|exportiamalg #1|162|ablecallyought|62790.73
8008005|namelessnameless #5|160|barcallyought|62156.66
1003002|exportiamalg #2|812|ableoughteing|61792.18
3004002|edu packexporti #2|881|oughteingeing|61503.33
1004001|edu packamalg #1|675|antiationcally|61337.09
2002001|importoimporto #1|670|barationcally|61267.11
2002001|importoimporto #1|179|n stationought|59352.72
10001008|amalgunivamalg #8|338|eingpripri|59246.84
3004002|edu packexporti #2|488|eingeingese|59032.45
10013003|exportiamalgamalg #3|193|prin stought|58852.66
5004001|edu packscholar #1|499|n stn stese|58159.88
1002001|importoamalg #1|458|eingantiese|58079.37
8016008|corpmaxi #8|635|antiprically|57746.96
7001005|amalgbrand #5|460|barcallyese|57677.28
10004003|edu packunivamalg #3|286|callyeingable|57149.69
7008003|namelessbrand #3|60|barcally|57074.77
7004005|edu packbrand #5|93|prin st|56835.84
4003001|exportiedu pack #1|216|callyoughtable|56600.77
8011009|amalgmaxi #9|532|ableprianti|56263.55
1003002|exportiamalg #2|784|eseeingation|56174.93
8011001|amalgmaxi #1|380|bareingpri|56030.17
5003001|exportischolar #1|437|ationpriese|55318.62
10015008|scholaramalgamalg #8|839|n stprieing|55270.82
7012003|importonameless #3|81|oughteing|55169.70
8001009|amalgnameless #9|21|oughtable|55033.13
9016003|corpunivamalg #3|167|ationcallyought|55002.47
8003006|exportinameless #6|399|n stn stpri|54730.51
3002001|importoexporti #1|176|callyationought|54208.11
8014004|edu packmaxi #4|159|n stantiought|54055.26
9009009|maximaxi #9|263|pricallyable|53626.34
3003001|exportiexporti #1|94|esen st|53385.11
8011001|amalgmaxi #1|868|eingcallyeing|53255.35
9015009|scholarunivamalg #9|68|eingcally|53000.78
9015011|scholarunivamalg #11|152|ableantiought|52864.71
9001005|amalgmaxi #5|194|esen stought|52703.09
6008007|namelesscorp #7|77|ationation|52632.06
8004002|edu packnameless #2|210|baroughtable|52502.65
8006009|corpnameless #9|365|anticallypri|52424.23
8006001|corpnameless #1|378|eingationpri|52386.61
4002001|importoedu pack #1|174|eseationought|52056.93
4003001|exportiedu pack #1|535|antiprianti|51883.27
10007001|brandunivamalg #1|1|ought|51751.65
9008003|namelessmaxi #3|549|n steseanti|51704.38
2001001|amalgimporto #1|214|eseoughtable|51625.37
10004007|edu packunivamalg #7|985|antieingn st|51496.14
4004002|edu packedu pack #2|293|prin stable|51297.75
8002007|importonameless #7|698|eingn stcally|51261.10
5002001|importoscholar #1|25|antiable|51190.05
7003006|exportibrand #6|500|barbaranti|51111.28
10008005|namelessunivamalg #5|119|n stoughtought|50988.80
9016008|corpunivamalg #8|509|n stbaranti|50828.26
7016002|corpnameless #2|77|ationation|50756.99
3002002|importoexporti #2|505|antibaranti|50727.04
3003001|exportiexporti #1|520|barableanti|50668.02
2002001|importoimporto #1|576|callyationanti|50182.92
5003001|exportischolar #1|491|oughtn stese|49532.37
10009012|maxiunivamalg #12|255|antiantiable|49372.50
1002001|importoamalg #1|743|prieseation|49335.10
9014005|edu packunivamalg #5|309|n stbarpri|49251.93
10016004|corpamalgamalg #4|104|esebarought|49113.93
3003001|exportiexporti #1|584|eseeinganti|48788.78
5001001|amalgscholar #1|230|barpriable|48574.57
1001002|amalgamalg #2|322|ableablepri|48457.77
8011005|amalgmaxi #5|500|barbaranti|48408.01
7013002|exportinameless #2|520|barableanti|48234.82
5001002|amalgscholar #2|30|barpri|48147.82
8004005|edu packnameless #5|260|barcallyable|48115.43
4003001|exportiedu pack #1|30|barpri|47986.79
7011005|amalgnameless #5|475|antiationese|47905.04
7010001|univnameless #1|192|ablen stought|47902.16
5003001|exportischolar #1|550|barantianti|47714.84
7001008|amalgbrand #8|778|eingationation|47658.82
2001001|amalgimporto #1|631|oughtprically|47486.19
9010011|univunivamalg #11|357|ationantipri|47478.26
3002001|importoexporti #1|769|n stcallyation|47470.99
9005003|scholarmaxi #3|68|eingcally|47415.65
7009005|maxibrand #5|132|ablepriought|47384.74
10012014|importoamalgamalg #14|190|barn stought|47354.75
2004002|edu packimporto #2|149|n steseought|47269.60
9015005|scholarunivamalg #5|858|eingantieing|47264.53
1002002|importoamalg #2|836|callyprieing|47258.05
3001001|amalgexporti #1|547|ationeseanti|47104.47
7001007|amalgbrand #7|766|callycallyation|47034.56
10006005|corpunivamalg #5|314|eseoughtpri|46921.24
4004002|edu packedu pack #2|177|ationationought|46824.61
6014005|edu packbrand #5|440|bareseese|46764.04
1002001|importoamalg #1|539|n stprianti|46735.61
3002002|importoexporti #2|597|ationn stanti|46664.62
5004002|edu packscholar #2|120|barableought|46654.69
7005001|scholarbrand #1|467|ationcallyese|46499.47
7001009|amalgbrand #9|538|eingprianti|46466.82
7014003|edu packnameless #3|243|prieseable|46431.95
8004007|edu packnameless #7|127|ationableought|46358.21
