i_manager_id|sum_sales|avg_monthly_sales
1|4535.89|8793.705
1|4569.54|8793.705
1|4751.76|8793.705
1|4910.75|8793.705
1|4911.48|8793.705
1|5445.37|8793.705
1|6435.36|8793.705
1|11511.00|8793.705
1|12519.99|8793.705
1|12875.95|8793.705
1|15834.58|8793.705
1|17222.79|8793.705
2|4356.98|8621.455
2|4688.97|8621.455
2|4974.59|8621.455
2|5259.28|8621.455
2|5475.70|8621.455
2|5490.39|8621.455
2|5500.83|8621.455
2|9488.54|8621.455
2|11539.87|8621.455
2|12604.06|8621.455
2|16777.81|8621.455
2|17300.44|8621.455
3|6558.75|11371.686666666666
3|6651.17|11371.686666666666
3|6698.65|11371.686666666666
3|6776.52|11371.686666666666
3|6912.89|11371.686666666666
3|7203.65|11371.686666666666
3|9419.21|11371.686666666666
3|12888.05|11371.686666666666
3|14859.07|11371.686666666666
3|16855.97|11371.686666666666
3|19156.33|11371.686666666666
3|22479.98|11371.686666666666
4|6820.94|12627.086666666666
4|7043.74|12627.086666666666
4|7140.16|12627.086666666666
4|7220.93|12627.086666666666
4|7267.93|12627.086666666666
4|7747.68|12627.086666666666
4|8878.95|12627.086666666666
4|16501.27|12627.086666666666
4|16879.33|12627.086666666666
4|17297.87|12627.086666666666
4|23340.54|12627.086666666666
4|25385.70|12627.086666666666
5|6153.17|12250.255833333333
5|6302.17|12250.255833333333
5|6875.25|12250.255833333333
5|7202.56|12250.255833333333
5|7387.04|12250.255833333333
5|8285.87|12250.255833333333
5|8521.88|12250.255833333333
5|15305.10|12250.255833333333
5|15426.85|12250.255833333333
5|15686.89|12250.255833333333
5|24410.83|12250.255833333333
5|25445.46|12250.255833333333
6|5376.50|11685.8225
6|5914.33|11685.8225
6|6615.78|11685.8225
6|6748.77|11685.8225
6|7387.27|11685.8225
6|7710.56|11685.8225
6|8318.26|11685.8225
6|14487.83|11685.8225
6|15033.92|11685.8225
6|16329.77|11685.8225
6|21883.05|11685.8225
6|24423.83|11685.8225
7|5594.11|11274.344166666666
7|5974.62|11274.344166666666
7|6109.31|11274.344166666666
7|6463.23|11274.344166666666
7|6691.99|11274.344166666666
7|7679.76|11274.344166666666
7|9129.37|11274.344166666666
7|14497.37|11274.344166666666
7|15011.89|11274.344166666666
7|15259.91|11274.344166666666
7|20866.08|11274.344166666666
7|22014.49|11274.344166666666
8|7213.06|14376.094166666666
8|8100.14|14376.094166666666
8|8232.87|14376.094166666666
8|8284.55|14376.094166666666
8|8325.01|14376.094166666666
8|8349.60|14376.094166666666
8|9548.03|14376.094166666666
8|18412.33|14376.094166666666
8|18630.86|14376.094166666666
8|19673.81|14376.094166666666
8|27136.03|14376.094166666666
8|30606.84|14376.094166666666
9|5903.13|11299.429166666667
9|6198.22|11299.429166666667
9|6260.21|11299.429166666667
9|7051.94|11299.429166666667
