d_year|brand_id|brand|ext_price
2000|1004002|edu packamalg #2|655063.82
2000|2001002|amalgimporto #2|639686.96
2000|2003002|exportiimporto #2|558355.93
2000|2004002|edu packimporto #2|552635.94
2000|3002002|importoexporti #2|518908.30
2000|1001002|amalgamalg #2|515683.25
2000|5001002|amalgscholar #2|507940.34
2000|3004002|edu packexporti #2|449657.43
2000|3001002|amalgexporti #2|442090.32
2000|1003002|exportiamalg #2|441210.94
2000|4003001|exportiedu pack #1|434028.76
2000|3003002|exportiexporti #2|416959.66
2000|4004002|edu packedu pack #2|396025.18
2000|4001002|amalgedu pack #2|388234.66
2000|4002002|importoedu pack #2|387438.67
2000|2002001|importoimporto #1|355150.05
2000|4003002|exportiedu pack #2|333034.54
2000|5003002|exportischolar #2|325760.54
2000|3002001|importoexporti #1|307269.29
2000|1001001|amalgamalg #1|285123.64
2000|5004002|edu packscholar #2|281740.57
2000|1003001|exportiamalg #1|278416.68
2000|4004001|edu packedu pack #1|275597.81
2000|1002001|importoamalg #1|273653.69
2000|1004001|edu packamalg #1|269083.31
2000|1002002|importoamalg #2|267452.44
2000|4001001|amalgedu pack #1|260101.81
2000|5002002|importoscholar #2|259828.84
2000|2002002|importoimporto #2|249521.01
2000|4002001|importoedu pack #1|244710.51
2000|3004001|edu packexporti #1|231422.18
2000|3003001|exportiexporti #1|228675.06
2000|3001001|amalgexporti #1|224796.54
2000|5003001|exportischolar #1|213334.82
2000|5001001|amalgscholar #1|194132.51
2000|2001001|amalgimporto #1|177191.67
2000|5004001|edu packscholar #1|163131.56
2000|2003001|exportiimporto #1|143214.78
2000|9011008|amalgunivamalg #8|139702.64
2000|5002001|importoscholar #1|134962.84
2000|2004001|edu packimporto #1|131086.88
2000|10016001|corpamalgamalg #1|119292.64
2000|10009013|maxiunivamalg #13|115933.03
2000|9011009|amalgunivamalg #9|111538.93
2000|10004015|edu packunivamalg #15|103833.25
2000|7016001|corpnameless #1|103818.67
2000|9012003|importounivamalg #3|102408.84
2000|10003004|exportiunivamalg #4|96378.47
2000|8008003|namelessnameless #3|96362.41
2000|6004007|edu packscholar #2|94477.08
2000|9010009|univunivamalg #9|92184.20
2000|7012009|importonameless #9|89579.37
2000|5001001|brandunivamalg #11|86193.56
2000|6001007|amalgcorp #7|86043.29
2000|10008002|namelessunivamalg #2|85663.07
2000|9006009|corpmaxi #9|85572.49
2000|9009002|maximaxi #2|82340.46
2000|10014016|edu packamalgamalg #16|80764.25
2000|6003003|exporticorp #3|78470.51
2000|6008005|namelesscorp #5|78376.49
2000|9001008|amalgmaxi #8|77200.92
2000|6005001|scholarcorp #1|76534.09
2000|9004008|edu packmaxi #8|74784.92
2000|10003011|exportiunivamalg #11|74711.82
2000|7001008|amalgbrand #8|72678.90
2000|8010004|univmaxi #4|72354.03
2000|8003004|exportinameless #4|70967.34
2000|7009010|maxibrand #10|69219.96
2000|7010001|univnameless #1|68829.31
2000|7007004|brandbrand #4|68671.35
2000|6012007|importobrand #7|68309.55
2000|9014008|edu packunivamalg #8|67605.45
2000|8002009|importonameless #9|67050.48
2000|9013012|exportiunivamalg #12|66494.70
2000|9014002|edu packunivamalg #2|66392.29
2000|6015008|scholarbrand #8|66014.01
2000|10004017|edu packunivamalg #17|63971.61
2000|6003008|exporticorp #8|63497.74
2000|4004001|edu packscholar #2|63081.81
2000|9015003|scholarunivamalg #3|62975.46
2000|7012010|importonameless #10|61937.99
2000|7009002|maxibrand #2|61792.59
2000|7013002|exportinameless #2|61289.16
2000|8015006|scholarmaxi #6|60642.10
2000|10009006|maxiunivamalg #6|60411.49
2000|6014002|edu packbrand #2|60339.56
2000|6012002|importobrand #2|59785.86
2000|6008002|namelesscorp #2|59658.54
2000|8016003|corpmaxi #3|59610.54
2000|8010001|univmaxi #1|59004.92
2000|6016006|corpbrand #6|58580.36
2000|4002001|edu packbrand #8|57760.26
2000|10011009|amalgamalgamalg #9|57360.58
2000|9015009|scholarunivamalg #9|57351.83
2000|9002003|importomaxi #3|56998.18
2000|6016005|corpbrand #5|56782.15
2000|7015009|scholarnameless #9|56397.25
2000|7010010|univnameless #10|55939.30
2000|8005010|scholarnameless #10|55332.27
2000|8005003|scholarnameless #3|55239.55
