prev_year|year_|i_brand_id|i_class_id|i_category_id|i_manufact_id|prev_yr_cnt|curr_yr_cnt|sales_cnt_diff|sales_amt_diff
2001|2002|4002001|2|9|263|19819|9178|-10641|-413618.11
2001|2002|3002001|2|9|174|17261|8911|-8350|-402945.61
2001|2002|4003001|3|9|21|16979|8975|-8004|-411359.52
2001|2002|9007008|7|9|212|19867|16100|-3767|-136525.57
2001|2002|9008008|8|9|466|11009|7371|-3638|-79657.94
2001|2002|9004008|4|9|513|11000|7381|-3619|-201419.46
2001|2002|9003010|3|9|251|11085|7604|-3481|-93057.12
2001|2002|9009008|9|9|4|9654|6304|-3350|-174584.30
2001|2002|5003001|10|9|50|11409|8111|-3298|-154725.50
2001|2002|9005003|14|9|190|10434|7335|-3099|-136576.09
2001|2002|9009002|9|9|200|9924|6839|-3085|-135736.07
2001|2002|9003008|3|9|22|10951|7922|-3029|-137345.00
2001|2002|9016010|1|9|568|10629|7643|-2986|-111572.90
2001|2002|9009010|1|9|311|10709|7729|-2980|-75824.12
2001|2002|9003002|3|9|63|20459|17524|-2935|-238423.97
2001|2002|9014008|14|9|418|10702|7791|-2911|-85149.48
2001|2002|9004008|4|9|71|10942|8034|-2908|-114056.95
2001|2002|3001001|9|9|149|10727|7837|-2890|-111044.69
2001|2002|9012008|12|9|112|10455|7578|-2877|-90120.21
2001|2002|9014010|14|9|164|10350|7485|-2865|-146487.13
2001|2002|9008004|8|9|350|11242|8409|-2833|-137960.83
2001|2002|1004001|4|9|203|11259|8471|-2788|-149178.94
2001|2002|9014002|14|9|169|10361|7579|-2782|-146413.80
2001|2002|9014002|14|9|694|10697|7969|-2728|-56038.96
2001|2002|3003001|3|9|136|11101|8383|-2718|-147039.96
2001|2002|9002002|2|9|238|10597|7881|-2716|-73110.74
2001|2002|9007002|7|9|93|10644|7940|-2704|-118842.90
2001|2002|9008010|8|9|593|11006|8330|-2676|-13791.89
2001|2002|9016002|16|9|100|9882|7210|-2672|-191609.29
2001|2002|9013008|13|9|171|10630|7971|-2659|-169831.24
2001|2002|9001008|1|9|348|9889|7235|-2654|-82089.04
2001|2002|9007002|7|9|306|10346|7704|-2642|-151195.07
2001|2002|10015006|15|9|623|10780|8213|-2567|-103230.67
2001|2002|9002008|2|9|193|11088|8549|-2539|-123744.53
2001|2002|9005010|8|9|353|10525|8002|-2523|-151369.53
2001|2002|9016008|16|9|557|10436|7947|-2489|-149879.29
2001|2002|9009008|9|9|965|11157|8677|-2480|-81157.99
2001|2002|9003008|3|9|225|9803|7330|-2473|-99270.74
2001|2002|9015002|15|9|599|10950|8494|-2456|-124360.28
2001|2002|9011008|11|9|260|10588|8150|-2438|-34633.27
2001|2002|9002002|2|9|162|10660|8231|-2429|-41479.75
2001|2002|9001002|1|9|252|19387|16961|-2426|-70617.04
2001|2002|9015002|15|9|945|10072|7678|-2394|-81319.89
2001|2002|9010002|10|9|24|10506|8120|-2386|-108802.92
2001|2002|9013010|13|9|312|11138|8755|-2383|-152360.95
2001|2002|9014004|14|9|39|10304|7927|-2377|-167535.80
2001|2002|9013004|2|9|385|10273|7903|-2370|-66546.39
2001|2002|9005002|5|9|8|19016|16655|-2361|-129111.31
2001|2002|9002002|2|9|35|10062|7706|-2356|-140115.27
2001|2002|9003002|3|9|374|10623|8269|-2354|-179077.00
2001|2002|9012008|12|9|244|9954|7607|-2347|-39989.37
2001|2002|9005008|5|9|514|9221|6888|-2333|-85538.71
2001|2002|9014004|14|9|678|9371|7045|-2326|-64426.40
2001|2002|9001002|1|9|152|9320|7015|-2305|-111814.80
2001|2002|5003001|13|9|85|10488|8198|-2290|-36033.48
2001|2002|9011009|6|9|337|10797|8514|-2283|-78724.11
2001|2002|9002010|2|9|241|9710|7431|-2279|-89892.90
2001|2002|9009008|9|9|140|10247|7971|-2276|-36268.07
2001|2002|9010008|10|9|1|9119|6844|-2275|-83196.80
2001|2002|9013010|13|9|13|10280|8031|-2249|-118521.01
2001|2002|9007002|7|9|623|19276|17031|-2245|43717.46
2001|2002|9005002|5|9|174|10386|8144|-2242|-135261.54
2001|2002|9013008|13|9|100|19928|17691|-2237|-126247.31
2001|2002|9013002|13|9|59|10101|7875|-2226|-34394.45
2001|2002|2002001|15|9|108|10094|7883|-2211|-62406.93
