ca_county|d_year|web_q1_q2_increase|store_q1_q2_increase|web_q2_q3_increase|store_q2_q3_increase
Aiken County|2000|1.4139106734097635|1.2386359677858716|2.6740937020279563|0.976759342685609
Alamosa County|2000|2.240719340371241|0.9747616108880588|2.7669863327293145|1.6314776903949504
Albemarle County|2000|2.0474476402685173|1.0035502563596528|1.741253740045695|1.6468587726960489
Alcona County|2000|1.8245797308781526|0.9523800453147088|3.2942024332589583|2.034680071493591
Amherst County|2000|0.8886029923827414|0.7788841946108402|3.1250233252667985|1.720322815505814
Anchorage Borough|2000|0.8421951229589254|0.5768703977718561|4.2190676036069155|2.1778988141810425
Angelina County|2000|0.9555688827070044|0.9173822669624568|2.217990971128537|1.5656848071880638
Anne Arundel County|2000|8.408699793133758|1.144752907613406|2.613172835829499|1.2262175748485378
Anson County|2000|1.509268059528779|0.6467246238027249|1.6647420795624714|1.6043107838892237
Apache County|2000|1.300568586068658|0.7532373404143894|3.711823756661053|2.117532440421589
Archer County|2000|0.8071466013408202|0.5337878064377297|2.7874489727859144|2.388939262494104
Atkinson County|2000|0.9929724797981757|0.8975614045490028|2.0074109124993833|1.2185537633909171
Augusta County|2000|1.0023073821277755|0.7881668145670689|3.3222349247085496|1.932803418480573
Baltimore County|2000|1.2402135390974782|0.7770155673544727|3.9114344372184964|2.9306893081062615
Baltimore city|2000|1.2249383358526553|0.883092681119085|2.220858462905111|2.0478247615364316
Bannock County|2000|2.1601895205769788|1.4330999545710537|2.1228500047302776|1.2211896558696456
Barrow County|2000|1.6566243581384419|0.8812602582267153|1.4393574496276513|1.4209315730788006
Beadle County|2000|1.0366283047655718|0.70998053030433|2.500520732912808|2.04898119460136
Beaver County|2000|1.4607575185062338|1.111487553011667|1.737552486430245|1.5733134977165912
Belknap County|2000|1.3883890096938032|0.9671117671907814|2.050993053275915|1.7931280682597082
Benson County|2000|1.4043254068848996|0.9575025336216816|4.846314022776536|1.4021970145823848
Benton County|2000|1.0036724091880842|0.9922165895097176|1.969559565809824|1.5201338183315356
Bernalillo County|2000|1.210662986103031|0.9493065639114936|5.024845959846521|1.7482478106975565
Bienville Parish|2000|5.009185792607644|1.162242162430545|1.5444713908289363|0.9940563800704361
Billings County|2000|2.51341704064141|1.098457942406331|1.7885959102032583|1.1413336080784968
Bland County|2000|0.9932409891860221|0.6172910597681249|3.0781128217196447|2.264346129792774
Blount County|2000|2.055869910894629|1.020419180597046|3.5589374189243985|1.6221498635186042
