i_category|i_class|i_brand|i_product_name|d_year|d_qoy|d_moy|s_store_id|sumsales|rk
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|2288995.08|5
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|5125228.48|4
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|11510668.58|3
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|24080476.11|2
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|10124283348.61|1
NULL|NULL|NULL|NULL|2000|NULL|NULL|NULL|2288995.08|5
NULL|NULL|NULL|NULL|2000|1|NULL|NULL|361188.39|32
NULL|NULL|NULL|NULL|2000|2|NULL|NULL|332091.33|36
NULL|NULL|NULL|NULL|2000|3|NULL|NULL|593067.24|11
NULL|NULL|NULL|NULL|2000|3|8|NULL|241716.94|62
NULL|NULL|NULL|NULL|2000|3|9|NULL|228834.32|81
NULL|NULL|NULL|NULL|2000|4|NULL|NULL|1002648.12|8
NULL|NULL|NULL|NULL|2000|4|10|NULL|333811.09|35
NULL|NULL|NULL|NULL|2000|4|11|NULL|298218.07|38
NULL|NULL|NULL|NULL|2000|4|12|NULL|370618.96|31
NULL|NULL|NULL|ableeingprin stought|NULL|NULL|NULL|NULL|244531.41|60
NULL|NULL|NULL|ableeingprin stought|2000|NULL|NULL|NULL|244531.41|60
NULL|NULL|NULL|ationantipriablen st|NULL|NULL|NULL|NULL|227013.33|86
NULL|NULL|NULL|ationantipriablen st|2000|NULL|NULL|NULL|227013.33|86
NULL|NULL|NULL|eingationeseationcally|NULL|NULL|NULL|NULL|225662.18|92
NULL|NULL|NULL|eingationeseationcally|2000|NULL|NULL|NULL|225662.18|92
NULL|NULL|NULL|esecallyableeseation|NULL|NULL|NULL|NULL|225203.54|94
NULL|NULL|NULL|esecallyableeseation|2000|NULL|NULL|NULL|225203.54|94
NULL|NULL|amalgimporto #2|NULL|NULL|NULL|NULL|NULL|317471.13|37
NULL|NULL|exportiimporto #1|NULL|NULL|NULL|NULL|NULL|260397.32|52
NULL|NULL|exportiimporto #1|NULL|NULL|NULL|NULL|NULL|260397.32|52
NULL|NULL|exportiimporto #1|NULL|2000|NULL|NULL|NULL|260397.32|52
NULL|NULL|importocorp #6|NULL|NULL|NULL|NULL|NULL|266056.12|45
NULL|NULL|importocorp #6|NULL|NULL|NULL|NULL|NULL|266056.12|45
NULL|NULL|importocorp #6|NULL|2000|NULL|NULL|NULL|266056.12|45
NULL|NULL|importoedu pack #1|NULL|NULL|NULL|NULL|NULL|245418.44|57
NULL|NULL|importoedu pack #1|NULL|NULL|NULL|NULL|NULL|245418.44|57
NULL|NULL|importoedu pack #1|NULL|2000|NULL|NULL|NULL|245418.44|57
NULL|accessories|NULL|NULL|NULL|NULL|NULL|NULL|241121.98|63
NULL|accessories|amalgimporto #2|NULL|NULL|NULL|NULL|NULL|240676.50|64
