s_store_name|i_item_desc|revenue|i_current_price|i_wholesale_cost|i_brand
able|NULL|4.13|14.70|12.20|importoedu pack #1
able|NULL|3.79|NULL|NULL|NULL
able|NULL|0.66|8.06|NULL|corpunivamalg #3
able|NULL|7.92|1.47|1.01|importoedu pack #1
able|NULL|2.70|NULL|3.37|importoexporti #1
able|NULL|0.59|NULL|NULL|amalgunivamalg #5
able|NULL|2.80|NULL|NULL|univamalgamalg #12
able|NULL|5.13|1.26|NULL|NULL
able|NULL|8.58|NULL|0.18|importoedu pack #1
able|NULL|2.10|NULL|0.12|NULL
able|NULL|2.23|4.43|NULL|exportiimporto #2
able|NULL|5.77|8.06|NULL|corpunivamalg #3
able|NULL|0.00|3.79|3.37|NULL
able|NULL|7.35|NULL|4.30|exportiimporto #2
able|NULL|0.00|9.62|7.21|amalgcorp #1
able|NULL|3.10|6.89|NULL|exportiimporto #1
able|NULL|7.07|3.30|NULL|NULL
able|NULL|7.76|5.06|3.39|edu packexporti #1
able|NULL|4.51|NULL|2.34|NULL
able|NULL|0.33|1.24|NULL|NULL
able|NULL|0.26|NULL|3.86|importomaxi #4
able|NULL|3.15|9.46|6.52|NULL
able|NULL|2.03|NULL|0.12|namelessmaxi #3
able|NULL|6.14|0.78|NULL|NULL
able|NULL|2.72|6.32|NULL|namelessunivamalg #10
able|NULL|0.00|NULL|0.15|importoexporti #2
able|NULL|8.52|NULL|NULL|NULL
able|NULL|0.84|NULL|0.25|amalgscholar #1
able|NULL|5.87|NULL|3.13|amalgscholar #1
able|NULL|3.78|NULL|4.68|exportiexporti #1
able|NULL|2.49|NULL|NULL|NULL
able|NULL|3.11|NULL|0.12|namelessmaxi #3
able|NULL|7.12|NULL|NULL|NULL
able|NULL|6.51|NULL|NULL|univamalgamalg #12
able|NULL|7.54|7.89|NULL|NULL
able|NULL|8.51|3.77|NULL|scholarcorp #4
able|NULL|1.80|NULL|NULL|amalgmaxi #6
able|NULL|0.15|NULL|0.34|NULL
able|NULL|6.18|4.59|NULL|NULL
able|NULL|1.31|NULL|3.15|scholarbrand #8
able|NULL|3.98|2.21|1.45|importoexporti #1
able|NULL|8.69|4.38|NULL|NULL
able|NULL|4.43|NULL|0.71|NULL
able|NULL|7.64|NULL|28.31|edu packcorp #1
able|NULL|4.71|NULL|4.13|NULL
able|NULL|0.98|NULL|1.51|NULL
able|NULL|6.99|6.72|2.35|exportiamalg #1
able|NULL|0.89|NULL|NULL|NULL
able|NULL|2.90|NULL|3.37|importoexporti #1
able|NULL|3.23|1.10|NULL|namelessunivamalg #10
able|NULL|4.70|NULL|NULL|NULL
able|NULL|4.83|NULL|NULL|NULL
able|NULL|7.65|NULL|NULL|exportinameless #7
able|NULL|7.71|1.24|NULL|NULL
able|NULL|0.95|NULL|NULL|exporticorp #3
able|A|6.74|8.12|2.43|amalgamalg #1
able|A|0.80|6.73|4.17|namelessbrand #5
able|A|6.05|8.39|6.29|amalgamalg #1
able|A|1.02|1.32|0.99|edu packexporti #1
able|A|3.74|6.21|3.97|amalgscholar #2
able|A|3.67|3.59|1.61|importoexporti #1
able|A|0.40|3.72|2.26|edu packnameless #8
able|A|1.45|9.42|7.06|exportischolar #2
able|A|6.85|33.36|27.02|importoimporto #1
able|A|2.14|3.59|1.61|importoexporti #1
able|A bit armed levels make then foods. Just other photographs benefit particular, a|2.14|6.46|3.61|exportibrand #1
able|A little compar|6.02|3.36|2.65|exportinameless #7
able|A little compar|3.26|3.36|2.65|exportinameless #7
able|A little critical lands should not consider now partners. Only other communities might not survive common, special forms. Leader|2.47|73.19|45.37|maxiunivamalg #9
able|A little great workers seem just really old methods. Working, sensitive files believe expressly words. Parties bring in a payments; strong windows|0.85|4.15|1.36|namelessbrand #9
able|A little simple clothes should see then much literary times. Intimately new courts can need. Quiet ways could not turn that is short-term instituti|6.07|6.76|5.40|scholarmaxi #10
able|A little strict results play; widespread doors seem then necessary reasons. Communications explain unfortunately. Policies produce free plants. Minutes say. Tensions retur|6.60|79.33|28.55|importoamalg #1
able|A little strict results play; widespread doors seem then necessary reasons. Communications explain unfortunately. Policies produce free plants. Minutes say. Tensions retur|3.90|79.33|28.55|importoamalg #1
able|A lot certain winners give with a farmers; financial friends mo|7.39|4.94|2.96|exportiamalg #1
able|A lot certain winners give with a farmers; financial friends mo|5.59|4.94|2.96|exportiamalg #1
able|Abilities approach. Affairs study now remarkable funds. Policies exercise considerable, recent |4.97|4.57|2.33|exportischolar #2
able|Abilities would not require almost; local|6.00|3.37|2.62|amalgamalg #1
able|Able|3.25|1.53|0.58|scholarbrand #1
able|Able|6.22|87.47|65.60|exportiexporti #1
able|Able animals win even from the events; mass standards write both sm|2.79|7.40|3.47|exportiamalg #2
able|Able bound|2.92|6.13|2.26|exportiunivamalg #9
able|Able bound|7.06|6.13|2.26|exportiunivamalg #9
able|Able changes should comment m|1.77|45.38|38.11|amalgnameless #4
able|Able colours sleep small papers. Unable pairs used to play; resources start good, legal enemies. Crews say inevitable, provincial items. |2.93|3.90|1.67|amalgscholar #2
able|Able events may view technically pockets. Famous, cautious investments contribute. Parts put socially throughout a services. Weapons could render only ol|2.48|2.02|0.74|corpnameless #3
able|Able examinations learn actually from a films. Alone lives may continue rather yellow, limited elections. Seasons change however large years. Details might work levels. Considerable, foreign regions |4.23|2.23|0.91|scholarnameless #2
able|Able eyes will not reach aside like a feet; potentially agricultural months can buy new, solid issues.|1.67|35.36|23.69|importoexporti #1
able|Able facilities clear thus good dete|3.73|0.86|0.66|importoedu pack #1
able|Able friends shall not question major, monthly things; new shots woul|6.09|26.31|21.31|importoedu pack #1
able|Able friends shall not question major, monthly things; new shots woul|1.39|26.31|21.31|importoedu pack #1
able|Able hands help however inevitable policemen. Far true matters will not forgive never hands. Absolutely french events stop now. Well able procedures unde|8.27|0.14|0.04|exportiamalg #1
able|Able hours provide on a horses; a little|5.93|0.71|0.56|exportinameless #7
able|Able hours provide on a horses; a little|7.28|0.71|0.56|exportinameless #7
able|Able industries ought to say key emissions. Always national policies get near atomic parts. Major, alive uni|8.35|0.86|0.53|corpcorp #7
able|Able industries ought to say key emissions. Always national policies get near atomic parts. Major, alive uni|6.63|0.86|0.53|corpcorp #7
able|Able industries ought to say key emissions. Always national policies get near atomic parts. Major, alive uni|0.70|0.86|0.53|corpcorp #7
able|Able issues welcome. Degrees begin currently|0.22|1.10|0.57|exportiimporto #1
able|Able marks agree particularly for a borders. Ready, long males shall not like so hundreds; black lists overcom|3.93|2.21|1.81|amalgimporto #2
able|Able members go never practical demands. Forward white chang|3.83|5.99|4.49|importoamalg #1
able|Able men would not choose explicitly immediately available prices. Mediterranean drinks let. New, military changes could not design with a questions; necessary thanks may |0.99|9.82|4.51|importoamalg #1
