channel|col_name|d_year|d_qoy|i_category|sales_cnt|sales_amt
catalog|cs_ship_addr_sk|1998|1|NULL|5|3430.07
catalog|cs_ship_addr_sk|1998|1|Books|100|195834.72
catalog|cs_ship_addr_sk|1998|1|Children|98|101070.98
catalog|cs_ship_addr_sk|1998|1|Electronics|99|131035.99
catalog|cs_ship_addr_sk|1998|1|Home|117|166604.98
catalog|cs_ship_addr_sk|1998|1|Jewelry|103|160640.96
catalog|cs_ship_addr_sk|1998|1|Men|114|136147.91
catalog|cs_ship_addr_sk|1998|1|Music|111|147878.30
catalog|cs_ship_addr_sk|1998|1|Shoes|95|113797.45
catalog|cs_ship_addr_sk|1998|1|Sports|101|101180.03
catalog|cs_ship_addr_sk|1998|1|Women|96|115797.14
catalog|cs_ship_addr_sk|1998|2|NULL|4|17997.64
catalog|cs_ship_addr_sk|1998|2|Books|83|97160.01
catalog|cs_ship_addr_sk|1998|2|Children|103|146064.64
catalog|cs_ship_addr_sk|1998|2|Electronics|104|112377.81
catalog|cs_ship_addr_sk|1998|2|Home|84|100345.68
catalog|cs_ship_addr_sk|1998|2|Jewelry|112|168035.95
catalog|cs_ship_addr_sk|1998|2|Men|118|175592.72
catalog|cs_ship_addr_sk|1998|2|Music|110|136212.41
catalog|cs_ship_addr_sk|1998|2|Shoes|108|119418.24
catalog|cs_ship_addr_sk|1998|2|Sports|97|109311.90
catalog|cs_ship_addr_sk|1998|2|Women|85|121764.45
catalog|cs_ship_addr_sk|1998|3|NULL|5|2337.30
catalog|cs_ship_addr_sk|1998|3|Books|206|286303.04
catalog|cs_ship_addr_sk|1998|3|Children|157|166120.75
catalog|cs_ship_addr_sk|1998|3|Electronics|207|272967.77
catalog|cs_ship_addr_sk|1998|3|Home|204|306148.91
catalog|cs_ship_addr_sk|1998|3|Jewelry|193|257735.56
catalog|cs_ship_addr_sk|1998|3|Men|182|223295.23
catalog|cs_ship_addr_sk|1998|3|Music|192|278133.87
catalog|cs_ship_addr_sk|1998|3|Shoes|194|212560.17
catalog|cs_ship_addr_sk|1998|3|Sports|201|202607.62
