i_product_name|i_brand|i_class|i_category|qoh
oughtableoughtn st|NULL|NULL|NULL|447.3886639676113
oughtableoughtn st|importomaxi #2|NULL|NULL|447.3886639676113
oughtableoughtn st|importomaxi #2|guns|NULL|447.3886639676113
oughtableoughtn st|importomaxi #2|guns|Sports|447.3886639676113
ationcallyationcallypri|NULL|NULL|NULL|450.5
ationcallyationcallypri|edu packamalg #2|NULL|NULL|450.5
ationcallyationcallypri|edu packamalg #2|swimwear|NULL|450.5
ationcallyationcallypri|edu packamalg #2|swimwear|Women|450.5
prioughteingantipri|NULL|NULL|NULL|451.1967545638945
prioughteingantipri|univnameless #4|NULL|NULL|451.1967545638945
prioughteingantipri|univnameless #4|flatware|NULL|451.1967545638945
prioughteingantipri|univnameless #4|flatware|Home|451.1967545638945
barantieseoughtation|NULL|NULL|NULL|452.5100401606426
barantieseoughtation|amalgexporti #1|NULL|NULL|452.5100401606426
barantieseoughtation|amalgexporti #1|newborn|NULL|452.5100401606426
barantieseoughtation|amalgexporti #1|newborn|Children|452.5100401606426
n stoughteingationpri|NULL|NULL|NULL|453.3158953722334
n stoughteingationpri|edu packunivamalg #12|NULL|NULL|453.3158953722334
n stoughteingationpri|edu packunivamalg #12|audio|NULL|453.3158953722334
n stoughteingationpri|edu packunivamalg #12|audio|Electronics|453.3158953722334
ablecallyprically|NULL|NULL|NULL|453.3906882591093
ablecallyprically|amalgunivamalg #3|NULL|NULL|453.3906882591093
ablecallyprically|amalgunivamalg #3|cooking|NULL|453.3906882591093
ablecallyprically|amalgunivamalg #3|cooking|Books|453.3906882591093
oughtn stationeingation|NULL|NULL|NULL|453.894523326572
oughtn stationeingation|edu packbrand #2|NULL|NULL|453.894523326572
oughtn stationeingation|edu packbrand #2|curtains/drapes|NULL|453.894523326572
oughtn stationeingation|edu packbrand #2|curtains/drapes|Home|453.894523326572
ationn stationbaranti|NULL|NULL|NULL|454.0892494929006
ationn stationbaranti|amalgscholar #2|NULL|NULL|454.0892494929006
ationn stationbaranti|amalgscholar #2|rock|NULL|454.0892494929006
