c_last_name|c_first_name|sales
NULL|NULL|22584.81
NULL|NULL|42681.92
NULL|Elvia|529.92
NULL|Evangeline|17849.16
NULL|Helen|8640.00
NULL|Isabel|4750.08
NULL|James|3305.36
NULL|Jefferson|2798.40
NULL|Laura|1932.16
NULL|Leticia|16350.63
NULL|Linda|19076.15
NULL|Pamela|840.14
NULL|Penny|22139.28
NULL|Robert|3454.50
NULL|Ronald|1503.75
NULL|Thomas|393.12
NULL|Valeria|5377.30
Ackerman|Irvin|598.02
Adams|John|34017.24
Adams|William|2318.24
Adcock|Brett|463.75
Akins|Anthony|11049.66
Albertson|Ernest|20648.61
Albertson|George|8680.65
Albrecht|Judy|1360.68
Alicea|Dennis|16555.76
Allen|Ronald|1074.29
Allen|Roy|25713.91
Almeida|Jeffrey|13262.70
Altman|Marie|1138.54
Alvarado|Ryan|5316.92
Anderson|Darrell|14243.40
Anderson|Janie|16850.02
Anderson|Rosemary|7222.02
Andrews|Jack|6832.93
Armijo|Jody|2460.75
Armstrong|Darla|1752.00
Armstrong|Tony|13436.75
Arndt|Pedro|621.36
Arnold|Charles|2099.20
Austin|Anthony|961.03
Bailey|Wesley|818.65
Baker|Ron|763.88
Baker|Ruth|6528.00
Baker|Sally|359.72
Banks|Dave|3705.48
Bannister|Jessica|1365.10
Barber|Candice|2683.50
Barger|Daniel|12292.78
Barnes|Robert|7229.30
Barnes|Virginia|9337.76
Barrett|Bessie|9550.19
Barrett|Doris|4127.72
Barron|Paul|2680.86
Bautista|Joe|5581.84
Beattie|Estella|4914.97
Bell|Jeremiah|6161.43
Benge|Percy|5270.04
Bennett|Gloria|2310.64
Bentley|Esther|3406.46
Berman|Brittany|11162.25
Berry|Jason|16535.91
Best|Dennis|352.00
Blue|Margaret|3297.00
Bone|Veronica|1213.04
Boston|Michael|9201.53
Bouchard|Jeramy|9603.80
Bowen|Leon|1388.70
Bowers|Joseph|13966.92
Boyd|Dennis|12381.94
Boyer|Walter|10096.95
Bradley|Barbara|2532.00
Brannon|Richard|5151.75
Bray|Richard|1341.56
Brenner|David|1435.86
Bridges|Joseph|15609.60
Bright|Michel|8069.32
Brock|Thomas|4128.48
Brown|David|4932.90
Brown|Donald|1454.86
Brown|Freda|2651.61
Brown|George|2134.44
Brown|Paula|5126.00
Brunson|James|3525.44
Bryant|Abigail|7987.20
Bryant|Derrick|7017.30
Burchett|Nancy|14453.93
Burgos|Charles|1104.49
Burney|Jesse|2624.87
Burns|Ellen|1402.95
Butler|James|2007.46
Butler|Jessie|11096.12
Callahan|Tricia|6848.52
Camacho|Judy|23.40
Capps|Eric|2243.42
Carey|Larry|834.72
Carlson|James|1020.88
Carney|Benjamin|6675.41
Carpenter|Hazel|3739.35
Carter|Thomas|13605.00
