w_substr|sm_type|cc_name|30 days|31-60 days|61-90 days|91-120 days|>120 days
NULL|EXPRESS|California|1518|1599|1535|0|0
NULL|EXPRESS|California_1|1517|1613|1620|0|0
NULL|EXPRESS|Hawaii/Alaska|1543|1554|1589|0|0
NULL|EXPRESS|Hawaii/Alaska_1|1629|1667|1622|0|0
NULL|EXPRESS|Mid Atlantic|1528|1637|1578|0|0
NULL|EXPRESS|Mid Atlantic_1|1544|1557|1641|0|0
NULL|EXPRESS|NY Metro|1578|1635|1622|0|0
NULL|EXPRESS|NY Metro_1|1547|1560|1589|0|0
NULL|EXPRESS|North Midwest|1545|1555|1598|0|0
NULL|EXPRESS|North Midwest_1|1683|1643|1594|0|0
NULL|EXPRESS|Pacific Northwest|1578|1588|1624|0|0
NULL|EXPRESS|Pacific Northwest_1|1549|1584|1571|0|0
NULL|LIBRARY|California|1197|1253|1159|0|0
NULL|LIBRARY|California_1|1162|1168|1187|0|0
NULL|LIBRARY|Hawaii/Alaska|1189|1225|1249|0|0
NULL|LIBRARY|Hawaii/Alaska_1|1222|1227|1168|0|0
NULL|LIBRARY|Mid Atlantic|1163|1265|1251|0|0
NULL|LIBRARY|Mid Atlantic_1|1161|1176|1188|0|0
NULL|LIBRARY|NY Metro|1107|1152|1207|0|0
NULL|LIBRARY|NY Metro_1|1251|1175|1190|0|0
NULL|LIBRARY|North Midwest|1204|1228|1233|0|0
NULL|LIBRARY|North Midwest_1|1169|1238|1152|0|0
NULL|LIBRARY|Pacific Northwest|1171|1215|1168|0|0
NULL|LIBRARY|Pacific Northwest_1|1214|1186|1210|0|0
NULL|NEXT DAY|California|1551|1563|1605|0|0
NULL|NEXT DAY|California_1|1548|1555|1531|0|0
NULL|NEXT DAY|Hawaii/Alaska|1543|1540|1610|0|0
NULL|NEXT DAY|Hawaii/Alaska_1|1464|1544|1588|0|0
NULL|NEXT DAY|Mid Atlantic|1528|1584|1566|0|0
NULL|NEXT DAY|Mid Atlantic_1|1540|1551|1655|0|0
NULL|NEXT DAY|NY Metro|1528|1551|1611|0|0
NULL|NEXT DAY|NY Metro_1|1598|1609|1580|0|0
NULL|NEXT DAY|North Midwest|1551|1629|1601|0|0
NULL|NEXT DAY|North Midwest_1|1524|1690|1628|0|0
NULL|NEXT DAY|Pacific Northwest|1552|1636|1566|0|0
NULL|NEXT DAY|Pacific Northwest_1|1542|1613|1578|0|0
NULL|OVERNIGHT|California|1187|1156|1172|0|0
NULL|OVERNIGHT|California_1|1156|1152|1146|0|0
NULL|OVERNIGHT|Hawaii/Alaska|1195|1139|1150|0|0
NULL|OVERNIGHT|Hawaii/Alaska_1|1174|1173|1182|0|0
NULL|OVERNIGHT|Mid Atlantic|1208|1195|1251|0|0
NULL|OVERNIGHT|Mid Atlantic_1|1184|1222|1232|0|0
NULL|OVERNIGHT|NY Metro|1153|1208|1218|0|0
NULL|OVERNIGHT|NY Metro_1|1149|1184|1200|0|0
NULL|OVERNIGHT|North Midwest|1160|1170|1175|0|0
NULL|OVERNIGHT|North Midwest_1|1191|1262|1221|0|0
NULL|OVERNIGHT|Pacific Northwest|1193|1251|1212|0|0
NULL|OVERNIGHT|Pacific Northwest_1|1142|1169|1183|0|0
NULL|REGULAR|California|1128|1233|1200|0|0
NULL|REGULAR|California_1|1179|1207|1223|0|0
NULL|REGULAR|Hawaii/Alaska|1134|1252|1124|0|0
NULL|REGULAR|Hawaii/Alaska_1|1186|1178|1227|0|0
NULL|REGULAR|Mid Atlantic|1186|1209|1182|0|0
NULL|REGULAR|Mid Atlantic_1|1183|1196|1214|0|0
NULL|REGULAR|NY Metro|1119|1223|1181|0|0
NULL|REGULAR|NY Metro_1|1131|1152|1182|0|0
NULL|REGULAR|North Midwest|1183|1178|1189|0|0
NULL|REGULAR|North Midwest_1|1206|1161|1194|0|0
NULL|REGULAR|Pacific Northwest|1166|1208|1210|0|0
NULL|REGULAR|Pacific Northwest_1|1163|1160|1188|0|0
NULL|TWO DAY|California|1059|1190|1197|0|0
NULL|TWO DAY|California_1|1141|1134|1224|0|0
NULL|TWO DAY|Hawaii/Alaska|1182|1196|1178|0|0
NULL|TWO DAY|Hawaii/Alaska_1|1101|1301|1225|0|0
NULL|TWO DAY|Mid Atlantic|1102|1110|1251|0|0
NULL|TWO DAY|Mid Atlantic_1|1180|1193|1212|0|0
NULL|TWO DAY|NY Metro|1100|1159|1187|0|0
NULL|TWO DAY|NY Metro_1|1214|1193|1273|0|0
NULL|TWO DAY|North Midwest|1170|1180|1246|0|0
NULL|TWO DAY|North Midwest_1|1205|1197|1211|0|0
NULL|TWO DAY|Pacific Northwest|1166|1202|1184|0|0
NULL|TWO DAY|Pacific Northwest_1|1198|1147|1236|0|0
Bad cards must make.|EXPRESS|California|1512|1654|1553|0|0
Bad cards must make.|EXPRESS|California_1|1504|1673|1640|0|0
Bad cards must make.|EXPRESS|Hawaii/Alaska|1535|1546|1552|0|0
Bad cards must make.|EXPRESS|Hawaii/Alaska_1|1596|1637|1637|0|0
Bad cards must make.|EXPRESS|Mid Atlantic|1536|1611|1582|0|0
Bad cards must make.|EXPRESS|Mid Atlantic_1|1590|1620|1559|0|0
Bad cards must make.|EXPRESS|NY Metro|1494|1568|1528|0|0
Bad cards must make.|EXPRESS|NY Metro_1|1580|1567|1659|0|0
Bad cards must make.|EXPRESS|North Midwest|1542|1620|1635|0|0
Bad cards must make.|EXPRESS|North Midwest_1|1520|1563|1574|0|0
Bad cards must make.|EXPRESS|Pacific Northwest|1503|1636|1645|0|0
Bad cards must make.|EXPRESS|Pacific Northwest_1|1541|1590|1621|0|0
Bad cards must make.|LIBRARY|California|1139|1165|1176|0|0
Bad cards must make.|LIBRARY|California_1|1152|1273|1183|0|0
Bad cards must make.|LIBRARY|Hawaii/Alaska|1178|1193|1145|0|0
Bad cards must make.|LIBRARY|Hawaii/Alaska_1|1163|1171|1184|0|0
Bad cards must make.|LIBRARY|Mid Atlantic|1188|1166|1183|0|0
Bad cards must make.|LIBRARY|Mid Atlantic_1|1218|1223|1230|0|0
Bad cards must make.|LIBRARY|NY Metro|1147|1243|1190|0|0
Bad cards must make.|LIBRARY|NY Metro_1|1204|1159|1189|0|0
Bad cards must make.|LIBRARY|North Midwest|1194|1214|1248|0|0
Bad cards must make.|LIBRARY|North Midwest_1|1207|1227|1221|0|0
Bad cards must make.|LIBRARY|Pacific Northwest|1202|1260|1215|0|0
Bad cards must make.|LIBRARY|Pacific Northwest_1|1141|1224|1220|0|0
Bad cards must make.|NEXT DAY|California|1558|1618|1587|0|0
Bad cards must make.|NEXT DAY|California_1|1613|1548|1653|0|0
Bad cards must make.|NEXT DAY|Hawaii/Alaska|1531|1606|1696|0|0
Bad cards must make.|NEXT DAY|Hawaii/Alaska_1|1572|1664|1635|0|0
