i_manufact_id|sum_sales|avg_quarterly_sales
926|237.63|640.5125
926|448.87|640.5125
926|929.65|640.5125
926|945.90|640.5125
954|331.59|701.05
954|1076.25|701.05
618|347.37|718.3125
618|492.29|718.3125
618|531.21|718.3125
618|1502.38|718.3125
923|289.42|727.3425
923|580.61|727.3425
923|881.82|727.3425
923|1157.52|727.3425
755|310.71|740.635
755|465.26|740.635
755|1385.63|740.635
429|313.14|744.08
429|392.61|744.08
429|864.48|744.08
429|1406.09|744.08
978|437.79|748.4725
978|446.44|748.4725
978|1358.57|748.4725
491|383.33|750.355
491|400.82|750.355
491|423.90|750.355
491|1793.37|750.355
914|276.23|750.965
914|575.92|750.965
914|673.65|750.965
914|1478.06|750.965
101|262.10|757.4375
101|304.55|757.4375
101|967.23|757.4375
101|1495.87|757.4375
102|290.73|762.75
102|507.76|762.75
102|1518.63|762.75
694|304.94|763.2125
694|632.15|763.2125
694|1043.18|763.2125
694|1072.58|763.2125
490|856.05|773.1575
616|282.32|785.265
616|969.65|785.265
616|1130.61|785.265
772|194.48|787.3725
772|496.78|787.3725
772|934.65|787.3725
772|1523.58|787.3725
220|348.27|787.605
220|560.76|787.605
220|682.12|787.605
220|1559.27|787.605
367|339.80|798.5325
367|615.87|798.5325
367|651.48|798.5325
367|1586.98|798.5325
498|638.74|799.335
498|648.21|799.335
498|1120.20|799.335
749|376.90|800.89
749|691.84|800.89
749|713.95|800.89
749|1420.87|800.89
967|496.48|801.175
967|514.44|801.175
967|1001.53|801.175
967|1192.25|801.175
704|366.33|807.92
704|708.47|807.92
704|1004.51|807.92
704|1152.37|807.92
887|302.30|809.96
887|570.46|809.96
887|1608.67|809.96
825|476.66|814.2125
825|684.37|814.2125
825|1268.85|814.2125
541|423.32|815.5825
541|558.00|815.5825
541|566.75|815.5825
541|1714.26|815.5825
635|341.20|819.675
635|1196.93|819.675
614|425.75|820.8175
614|542.13|820.8175
614|1073.64|820.8175
614|1241.75|820.8175
891|365.16|824.16
891|407.44|824.16
891|609.60|824.16
891|1914.44|824.16
664|421.34|824.8375
664|623.51|824.8375
664|653.02|824.8375
664|1601.48|824.8375
787|228.41|824.9475
787|1053.53|824.9475
