item_id|ss_item_rev|ss_dev|cs_item_rev|cs_dev|ws_item_rev|ws_dev|average
AAAAAAAAAABKAAAA|4652.18|105.74994999121058|4300.46|97.75490843845283|4245.04|96.49514157033661|4399.2266666666665
AAAAAAAAACCEAAAA|5592.65|96.60710995439679|5757.50|99.45471924086785|6017.05|103.93817080473538|5789.066666666667
AAAAAAAAAGGNAAAA|2413.22|97.32413281335069|2448.44|98.7445403840182|2577.05|103.9313268026311|2479.57
AAAAAAAAAMOEBAAA|3441.85|97.42564672558757|3650.44|103.3300340900835|3506.10|99.24431918432894|3532.7966666666666
AAAAAAAAANECBAAA|15236.22|102.9173916802663|14761.51|99.71082765030748|14415.23|97.37178066942622|14804.32
AAAAAAAABAGJAAAA|7961.30|99.6809728075645|8149.50|102.03736674855199|7849.54|98.28166044388352|7986.78
AAAAAAAABCHJAAAA|1361.59|96.30484498408582|1472.66|104.16079217258047|1407.25|99.53436284333374|1413.8333333333333
AAAAAAAACDGHBAAA|7712.70|97.77437281294277|7612.68|96.50641311416666|8339.41|105.71921407289058|7888.263333333333
AAAAAAAADDEMAAAA|7045.96|99.50234423544032|7285.04|102.87860814551206|6912.60|97.61904761904762|7081.2
AAAAAAAADLCMAAAA|1052.02|100.13325464963545|1088.12|103.5693209723782|1011.72|96.29742437798632|1050.6200000000001
AAAAAAAAEBDCBAAA|4114.50|98.93851600642196|4287.66|103.102373931242|4073.77|97.95911006233602|4158.643333333333
AAAAAAAAEEEKAAAA|8614.84|102.89345184182498|8493.66|101.44610882742282|8009.25|95.66043933075214|8372.583333333334
AAAAAAAAEGHLAAAA|4617.92|99.21324126551711|4519.12|97.0905825280264|4826.58|103.69617620645649|4654.54
AAAAAAAAELBAAAAA|6364.04|101.36727087381733|6086.05|96.93940938485554|6384.51|101.69331974132714|6278.2
AAAAAAAAEOIEBAAA|10470.67|96.51401161043648|11379.95|104.8953530601372|10695.96|98.5906353294263|10848.86
AAAAAAAAFBCFAAAA|6891.53|101.52349646489893|6901.05|101.663741618928|6571.76|96.81276191617307|6788.113333333334
AAAAAAAAGABPAAAA|986.75|99.16288137637176|976.70|98.15291232865701|1021.79|102.68420629497126|995.0799999999999
AAAAAAAAGAMBBAAA|7912.20|99.76689702362887|7838.33|98.83545182720621|8041.53|101.39765114916489|7930.686666666667
AAAAAAAAGJFIBAAA|5117.92|104.05540491360095|4817.80|97.95349083079584|4819.65|97.9911042556032|4918.456666666667
AAAAAAAAGOHDBAAA|6126.37|99.710294474274|6043.84|98.36706992156795|6262.30|101.9226356041581|6144.169999999999
AAAAAAAAIDKHBAAA|3619.76|100.87383339479676|3465.08|96.56328116218819|3680.37|102.56288544301503|3588.403333333333
AAAAAAAAIPGLAAAA|5452.16|99.95343465268483|5597.40|102.61609254404458|5314.54|97.43047280327058|5454.7
AAAAAAAAJAGEAAAA|4451.16|102.43485958574938|4127.95|94.99680501869044|4456.96|102.56833539556015|4345.356666666667
AAAAAAAAJCNEAAAA|972.40|100.6628732328269|945.88|97.9175221446589|979.71|101.41960462251424|965.9966666666666
AAAAAAAAKBLKAAAA|15376.49|103.0761880991107|14998.53|100.5425360072523|14377.77|96.38127589363702|14917.596666666666
AAAAAAAAKIIEBAAA|2044.14|100.76174076496125|2108.92|103.95493964896829|1933.00|95.28331958607046|2028.6866666666667
AAAAAAAAKLHDBAAA|5330.18|101.34064262627543|5088.02|96.73654857722289|5360.80|101.92280879650168|5259.666666666667
AAAAAAAAKPOFAAAA|4449.87|103.38989351691576|4125.74|95.85893953721796|4336.30|100.75116694586626|4303.97
AAAAAAAALHHDAAAA|9391.84|103.06217963982492|8968.77|98.41958390350267|8977.76|98.51823645667245|9112.789999999999
AAAAAAAAMGAHBAAA|1750.92|96.70688172795275|1902.56|105.08226812209227|1778.15|98.210850149955|1810.5433333333333
AAAAAAAAOHHABAAA|4278.29|100.87221753724687|4125.96|97.28062722956581|4319.64|101.84715523318735|4241.296666666666
AAAAAAAAOLAAAAAA|3266.83|97.75845094516724|3462.78|103.6221685131783|3295.60|98.6193805416545|3341.736666666666
AAAAAAAAOLBCAAAA|3167.22|96.36855445038445|3303.30|100.50904134097252|3389.19|103.12240420864308|3286.5699999999997
AAAAAAAAPADABAAA|7293.56|102.69837701242434|7273.08|102.41000442603108|6739.13|94.8916185615446|7101.923333333333
AAAAAAAAPBNCAAAA|4227.86|94.40095386525313|4587.30|102.4266403490361|4620.70|103.17240578571078|4478.62
AAAAAAAAPGJGBAAA|7812.15|104.88627468881783|7236.36|97.15569244153964|7296.12|97.9580328696425|7448.21
AAAAAAAAPNHEBAAA|6830.32|104.99295212105034|6463.67|99.35695470142973|6222.52|95.65009317751996|6505.503333333333
AAAAAAAAPPMDBAAA|2174.88|97.8895205174253|2317.57|104.31187746706456|2172.86|97.79860201551016|2221.77
