d_year|brand_id|brand|sum_agg
1998|2001001|amalgimporto #1|179086.36
1998|3002001|importoexporti #1|167274.89
1998|5003001|exportischolar #1|135802.01
1998|3004001|edu packexporti #1|110895.75
1998|2002002|importoimporto #2|99381.00
1998|2004001|edu packimporto #1|88180.11
1998|3003001|exportiexporti #1|85659.82
1998|4002001|importoedu pack #1|85607.58
1998|10012015|importoamalgamalg #15|81393.33
1998|1003001|exportiamalg #1|67162.58
1998|6003007|exporticorp #7|64828.31
1998|2004002|edu packimporto #2|62932.99
1998|1001002|amalgamalg #2|60908.77
1998|1004001|edu packamalg #1|58665.38
1998|6003004|exporticorp #4|58254.58
1998|7013004|exportinameless #4|57325.62
1998|5001001|amalgscholar #1|53965.59
1998|5002002|importoscholar #2|48689.31
1998|10003008|exportiunivamalg #8|48443.66
1998|7008010|namelessbrand #10|47586.83
1998|8009007|maxinameless #7|46759.94
1998|10010006|univamalgamalg #6|43635.57
1998|10007014|brandunivamalg #14|43104.52
1998|9005009|scholarmaxi #9|43027.43
1998|4003002|exportiedu pack #2|42797.21
1998|5004001|edu packscholar #1|41566.41
1998|4004002|edu packedu pack #2|38775.46
1998|1004002|edu packamalg #2|38516.57
1998|10016004|corpamalgamalg #4|37143.52
1998|7002008|importobrand #8|37061.51
1998|9004003|edu packmaxi #3|36286.63
1998|7003002|exportibrand #2|35835.85
1998|5002001|importoscholar #1|35264.35
1998|7007010|brandbrand #10|34941.94
1998|8011009|amalgmaxi #9|34828.87
1998|7009008|maxibrand #8|33945.35
1998|9016008|corpunivamalg #8|33491.64
1998|2003001|exportiimporto #1|33303.34
1998|7003009|exportibrand #9|33131.74
1998|6004008|edu packcorp #8|31593.41
1998|9007009|brandmaxi #9|30906.46
1998|7014007|edu packnameless #7|30396.30
1998|9001005|amalgmaxi #5|29473.51
1998|1001001|amalgamalg #1|28777.82
1998|2003002|exportiimporto #2|28718.30
1998|6010003|univbrand #3|28451.85
1998|8002005|importonameless #5|28062.02
1998|6009002|maxicorp #2|26976.92
1998|10010002|univamalgamalg #2|26807.31
1998|6010002|univbrand #2|25494.88
1998|8013008|exportimaxi #8|24955.85
1998|9009003|maximaxi #3|24861.43
1998|6015001|scholarbrand #1|24738.69
1998|1003002|exportiamalg #2|24578.74
1998|6011001|amalgbrand #1|24455.52
1998|4003001|exportiedu pack #1|23695.86
1998|10001002|amalgunivamalg #2|23455.86
1998|3001001|amalgexporti #1|23374.40
1998|3001002|amalgexporti #2|22650.43
1998|6012005|importobrand #5|20853.43
1998|10006004|corpunivamalg #4|20307.00
1998|10010014|univamalgamalg #14|20068.18
1998|4002002|importoedu pack #2|19660.94
1998|3003002|exportiexporti #2|18390.26
1998|6014001|edu packbrand #1|17752.35
1998|10007004|brandunivamalg #4|17291.48
1998|7008005|namelessbrand #5|13739.90
1998|5003002|exportischolar #2|13655.74
1998|8001009|amalgnameless #9|12187.19
1998|10001013|amalgunivamalg #13|9362.13
1999|2001001|amalgimporto #1|193927.70
1999|5003001|exportischolar #1|188755.86
1999|3003001|exportiexporti #1|107881.14
1999|2002002|importoimporto #2|103679.12
1999|3002001|importoexporti #1|102273.20
1999|5002002|importoscholar #2|90882.08
1999|3004001|edu packexporti #1|87358.74
1999|9004003|edu packmaxi #3|82961.65
1999|2004002|edu packimporto #2|78665.38
1999|2004001|edu packimporto #1|66618.29
1999|1004001|edu packamalg #1|65963.80
1999|1003001|exportiamalg #1|62578.45
1999|5004001|edu packscholar #1|60498.29
1999|9016008|corpunivamalg #8|52524.48
1999|1003002|exportiamalg #2|50459.45
1999|2003002|exportiimporto #2|47478.01
1999|7007010|brandbrand #10|47163.62
1999|6004008|edu packcorp #8|46705.49
1999|8013008|exportimaxi #8|45397.85
1999|4002001|importoedu pack #1|44675.87
1999|6009002|maxicorp #2|43076.05
1999|1004002|edu packamalg #2|41552.37
1999|6012005|importobrand #5|41268.59
1999|6003007|exporticorp #7|40196.69
1999|6003004|exporticorp #4|39473.34
1999|1001002|amalgamalg #2|39197.43
1999|9007009|brandmaxi #9|38946.47
1999|10006004|corpunivamalg #4|38867.63
1999|5002001|importoscholar #1|38531.96
1999|8001009|amalgnameless #9|38481.37
