brand_id|brand|ext_price
5002001|importoscholar #1|684601.46
2003001|exportiimporto #1|665909.94
4001001|amalgedu pack #1|658667.68
4003001|exportiedu pack #1|645101.36
5001001|amalgscholar #1|641798.77
3001001|amalgexporti #1|630490.73
3003001|exportiexporti #1|603852.93
2004001|edu packimporto #1|601802.41
1001001|amalgamalg #1|598821.14
5003001|exportischolar #1|586223.79
4002001|importoedu pack #1|482535.73
2001001|amalgimporto #1|456171.02
2002001|importoimporto #1|447843.23
5003002|exportischolar #2|447053.20
1002001|importoamalg #1|446853.86
4004001|edu packedu pack #1|422457.29
5004001|edu packscholar #1|399330.37
3004001|edu packexporti #1|394357.61
1003001|exportiamalg #1|388508.42
1004001|edu packamalg #1|334074.77
2004002|edu packimporto #2|332188.69
4001002|amalgedu pack #2|301089.55
5001002|amalgscholar #2|300267.16
4003002|exportiedu pack #2|273661.01
3002001|importoexporti #1|266266.58
2003002|exportiimporto #2|255085.90
3001002|amalgexporti #2|233811.92
1003002|exportiamalg #2|228031.76
5004002|edu packscholar #2|224650.57
3002002|importoexporti #2|224238.50
1001002|amalgamalg #2|219336.05
2001002|amalgimporto #2|210924.37
5002002|importoscholar #2|209112.19
4002002|importoedu pack #2|204171.79
1002002|importoamalg #2|194542.38
1004002|edu packamalg #2|182105.80
3004002|edu packexporti #2|177950.31
4004002|edu packedu pack #2|174127.43
9001003|amalgmaxi #3|141383.35
8009007|maxinameless #7|130283.14
8003003|exportinameless #3|125915.44
2002002|importoimporto #2|119015.06
7011007|amalgnameless #7|116710.96
6014007|edu packbrand #7|111082.45
9016003|corpunivamalg #3|109970.09
6008001|namelesscorp #1|108650.44
6003003|exporticorp #3|106861.42
10006003|corpunivamalg #3|106135.76
6003004|exporticorp #4|103757.14
6015003|scholarbrand #3|102248.06
7016007|corpnameless #7|100468.23
10016011|corpamalgamalg #11|100318.71
3003002|exportiexporti #2|100194.19
9005003|scholarmaxi #3|99935.46
8009001|maxinameless #1|98459.01
10013006|exportiamalgamalg #6|97771.62
10011004|amalgamalgamalg #4|97287.19
7009005|maxibrand #5|97183.58
9016009|corpunivamalg #9|95125.20
7016008|corpnameless #8|94707.38
6009003|maxicorp #3|94634.92
10016003|corpamalgamalg #3|94219.63
6015002|scholarbrand #2|90736.44
8011009|amalgmaxi #9|89567.49
9003009|exportimaxi #9|89071.33
10008009|namelessunivamalg #9|88033.87
10003013|exportiunivamalg #13|86375.36
10003016|exportiunivamalg #16|85970.98
9002002|importomaxi #2|82497.88
9013011|exportiunivamalg #11|82365.30
6005003|scholarcorp #3|80393.50
9005002|scholarmaxi #2|80139.65
9005011|scholarmaxi #11|80112.98
9004011|edu packmaxi #11|78396.75
9014005|edu packunivamalg #5|77848.48
8010006|univmaxi #6|76575.66
7003005|exportibrand #5|76112.93
6013005|exportibrand #5|75403.51
6002001|importocorp #1|75204.64
9007002|brandmaxi #2|72934.61
8009003|maxinameless #3|72752.85
8006009|corpnameless #9|72550.54
7014006|edu packnameless #6|71687.93
7010002|univnameless #2|70586.48
9012011|importounivamalg #11|69823.71
9007011|brandmaxi #11|69616.29
9003003|exportimaxi #3|68974.15
8006008|corpnameless #8|68143.86
7011008|amalgnameless #8|66740.69
8013002|exportimaxi #2|66622.65
10014014|edu packamalgamalg #14|65277.36
9014008|edu packunivamalg #8|65270.23
6016005|corpbrand #5|63959.79
7006007|corpbrand #7|63265.29
10013004|exportiamalgamalg #4|62995.64
6014001|edu packbrand #1|62409.06
6011001|amalgbrand #1|61655.13
9010011|univunivamalg #11|61570.62
6001008|amalgcorp #8|60006.61
8010003|univmaxi #3|59900.92
