channel|i_brand_id|i_class_id|i_category_id|sum_sales|sum_number_sales
NULL|NULL|NULL|NULL|6747006584.87|1565036
catalog|NULL|NULL|NULL|2346153780.92|462023
catalog|1001001|NULL|NULL|19369251.39|3828
catalog|1001001|1|NULL|10757280.82|2150
catalog|1001001|1|1|981145.38|214
catalog|1001001|1|2|1183046.87|211
catalog|1001001|1|3|1026091.56|224
catalog|1001001|1|4|1600580.52|317
catalog|1001001|1|5|899958.49|192
catalog|1001001|1|6|866063.53|171
catalog|1001001|1|7|1091626.52|227
catalog|1001001|1|8|1069083.86|207
catalog|1001001|1|9|759494.39|150
catalog|1001001|1|10|1280189.70|237
catalog|1001001|2|NULL|1265663.34|242
catalog|1001001|2|1|284397.15|52
catalog|1001001|2|2|362192.03|62
catalog|1001001|2|3|111970.19|19
catalog|1001001|2|4|121900.82|25
catalog|1001001|2|5|138685.75|30
catalog|1001001|2|6|52649.76|10
catalog|1001001|2|7|26118.28|9
catalog|1001001|2|8|71002.77|13
catalog|1001001|2|10|96746.59|22
catalog|1001001|3|NULL|1672110.58|329
catalog|1001001|3|1|378102.72|67
catalog|1001001|3|2|296179.93|65
catalog|1001001|3|3|145744.42|30
catalog|1001001|3|4|251152.42|55
catalog|1001001|3|5|208488.29|38
catalog|1001001|3|6|71035.86|11
catalog|1001001|3|7|58374.25|16
catalog|1001001|3|8|65528.28|13
catalog|1001001|3|9|151639.30|27
catalog|1001001|3|10|45865.11|7
catalog|1001001|4|NULL|1539358.49|295
catalog|1001001|4|1|318736.87|66
catalog|1001001|4|2|288888.83|52
catalog|1001001|4|3|270852.05|44
catalog|1001001|4|4|131233.50|26
catalog|1001001|4|5|223533.78|50
catalog|1001001|4|6|167441.41|35
catalog|1001001|4|7|85755.17|14
catalog|1001001|4|10|52916.88|8
catalog|1001001|5|NULL|273015.05|56
catalog|1001001|5|6|59392.81|12
catalog|1001001|5|9|65767.88|16
catalog|1001001|5|10|147854.36|28
catalog|1001001|6|NULL|116134.02|30
catalog|1001001|6|7|22559.58|10
catalog|1001001|6|9|93574.44|20
catalog|1001001|7|NULL|216036.65|37
catalog|1001001|7|6|108818.89|17
catalog|1001001|7|7|107217.76|20
catalog|1001001|8|NULL|238433.82|40
catalog|1001001|8|7|118001.68|18
catalog|1001001|8|9|62978.59|8
catalog|1001001|8|10|57453.55|14
catalog|1001001|9|NULL|449751.81|98
catalog|1001001|9|6|45590.48|13
catalog|1001001|9|7|81554.60|20
catalog|1001001|9|8|144867.51|27
catalog|1001001|9|9|51458.96|10
catalog|1001001|9|10|126280.26|28
catalog|1001001|10|NULL|432390.48|64
catalog|1001001|10|6|71825.44|12
catalog|1001001|10|8|64869.55|9
catalog|1001001|10|9|194601.15|32
catalog|1001001|10|10|101094.34|11
catalog|1001001|11|NULL|412434.19|78
catalog|1001001|11|7|81248.71|18
catalog|1001001|11|9|209115.67|35
catalog|1001001|11|10|122069.81|25
catalog|1001001|12|NULL|373426.61|74
catalog|1001001|12|6|38615.56|12
catalog|1001001|12|8|161104.98|30
catalog|1001001|12|9|90461.28|14
catalog|1001001|12|10|83244.79|18
catalog|1001001|13|NULL|430479.49|100
catalog|1001001|13|6|92180.49|22
catalog|1001001|13|7|198556.51|42
catalog|1001001|13|8|81403.30|19
catalog|1001001|13|10|58339.19|17
catalog|1001001|14|NULL|335895.56|61
catalog|1001001|14|6|274396.12|50
catalog|1001001|14|8|61499.44|11
catalog|1001001|15|NULL|521758.90|104
catalog|1001001|15|7|71545.90|10
catalog|1001001|15|8|124128.97|25
catalog|1001001|15|9|150551.04|32
catalog|1001001|15|10|175532.99|37
catalog|1001001|16|NULL|335081.58|70
catalog|1001001|16|6|73829.67|15
catalog|1001001|16|7|88683.56|18
catalog|1001001|16|8|72424.91|12
catalog|1001001|16|9|29150.05|8
catalog|1001001|16|10|70993.39|17
catalog|1001002|NULL|NULL|40017995.51|7874
catalog|1001002|1|NULL|31834431.20|6237
catalog|1001002|1|1|31834431.20|6237
