s_name|s_address
"Supplier#000000020"|JtPqm19E7tF 152Rl1wQZ8j0H
"Supplier#000000285"|q TMZEDyZtv vUiFKBhT3NJlnIxpL
"Supplier#000000358"|6XtuJkJj83BcCOV7bwV7wG5nkhazk
"Supplier#000000361"|MSi62aEN53KaoRAiaH4GEo3EsKMXSwpPGU
"Supplier#000000402"|JR8vWoCteJtJg3okRpt0r28KEo
"Supplier#000000555"|8Lp0QWPLFXrJrX1sTWkAEdzUsh5ke
"Supplier#000000688"|orLvVDOBBE2B2ppjbiTZTJoIJgn1VgKg3
"Supplier#000000729"|CAOGYCBtTVT7aB1p6qHbxF6VVhXaHLgTpI
"Supplier#000000744"|WdgxvW4WEloeapP7H6cWHrGLCHkStwrM
"Supplier#000000752"|GrOjezmDCNvHXl5
"Supplier#000000783"|OeB1v2RVusE14KWROea4sNgSqbeJp
"Supplier#000000975"|1qorM1ypBdwgPVuf6sMCKuF9D1rJN1iCTXKmalSt
"Supplier#000000997"|UM64eAcogoCYh2Q UbWEgRXMQ5icygh4y73
"Supplier#000001141"|vocxbxcNVUW RjX,0ux1PBm
"Supplier#000001245"|Qsy7oMj1DzgQLKy24M0I 5rk sWilK
"Supplier#000001367"|XY28GmOq3efOxOzBMmMLdmWjMpo
"Supplier#000001426"|QbcoO0TUClFSzfy90Lk k
"Supplier#000001447"|3UDPM2EuuRi,H0ZcfwBFIKQrAxy5,MYMJ7J6H3eL
"Supplier#000001501"|vf,U03rYeXpHb 
"Supplier#000001528"|JyWmEcRtJ40j1w6EQBP2MCg35x2Y
"Supplier#000001600"|5FIUF4v65qX88FMsF ,IrY5Qh2y
"Supplier#000001624"|j8G7xxUgfBSqOuN59khSsMt0 WUyaRoCskb
"Supplier#000001682"|C37Gkv 7a5ujZ9 
"Supplier#000001700"|UJeFoDLZ2VtflK
"Supplier#000001726"|8M92T8y7jYXzmvCANTtqR8GHuT
"Supplier#000001746"|B4zMDOFcMGbkZQ4XxA,UyaQoEWZzMSGI wTsJp9N
"Supplier#000001855"|f4GUmrMCs3Q
"Supplier#000001856"|I3O9Kt2l,QK,VI9TBUvV9PhhfP6kt2J69bwmv64e
"Supplier#000001939"|e G0hrWPL9N6z
"Supplier#000001990"|o8nhGpKphsybKZtye0o6OfDz9GIcuGHjMs7pq
"Supplier#000002022"|sNvMPl3TiNZBOYV3w2XX
"Supplier#000002117"|f9yGKhCFjhS4Jr3Sh0x rdjgntwH 
"Supplier#000002218"|Ecn1vWAWNusGB,gW
"Supplier#000002241"|Jk50RPF5RfwxLa56AIcc,BFlu
"Supplier#000002245"|KsYA4445HcugJAb3eCmvtUslGA7Qne
"Supplier#000002264"|OpnzPUbUmO6fz3
"Supplier#000002272"|zaN8vdILIWrGLhJ
"Supplier#000002331"|59JYvW4lw9LT1,8,qw8wkof
"Supplier#000002419"|BtNpaOZWiVGVE53RWL22
"Supplier#000002481"|Efgj6dDYeFS7cq,V1DARlmeOiGecY
"Supplier#000002494"|TrHXAiwfUAI CmrRwqNgmCCgCXiejYDbjf3k,jRB
"Supplier#000002571"|i16xKt,WOrJhlf GkzsRdrd04sZ 5jei9MtB
"Supplier#000002629"|0qv0AW1BSzyR3 sDoDK1YOqm32v1
"Supplier#000002630"|2iaqwId62RhjVIwNrsETHr5FbJnFTopCYZ
"Supplier#000002669"|lkZk4ZyeUvxc4rIjbPFuvE3HYL
"Supplier#000002719"|XDDsajYoPAama6xjz37p66GQbXEd8X
"Supplier#000002799"|Gv 0rVfXKNMOTRbbxy0W4cUDa 7h2UYOqt2d
"Supplier#000002840"|E352X9,0Z52 7Qw c8ltq1urnd66
"Supplier#000002934"|F0y pndtv8r vKXoJp
"Supplier#000002941"|eQNNPRrS27ngMG1ub,
"Supplier#000002960"|hobom 9kkCVwuS7uKjJU0Eq2LS 8ya8Y7
"Supplier#000002980"|qRGRt6ztQ3x4Gyc9jMsAkIqmBSIN,8hsGv
"Supplier#000003062"|g8adKB2ZuDdssRsqoQBtUjvc1b
"Supplier#000003087"|rdvMSbz1W LHZj8B5sRR,M4a
"Supplier#000003095"|kucdXIhJ6IYsHy0ArE7n
"Supplier#000003109"|Z4L7wGSEyjBDtxMLTgI
"Supplier#000003161"|Pa8O1oxfBp9q6R9G5WcuuwhMjQeBHLwC3
"Supplier#000003185"|KeQVXWoPLYFHZdvXc4cg55 zg06NnGi69 NI8ihM
"Supplier#000003213"|Cu 9bXI aZ6CtLa1N7LX
"Supplier#000003241"|I,U861f8RcYEvHqfc5IqeMiJP
"Supplier#000003275"|SucWDuhYahP3UwkM
"Supplier#000003380"|Ibw,51BzsCyxl7X3zqAFc0Gu7Yx0K7mImP9z0u
"Supplier#000003403"|NX3YCs0gokSyzjHJSqr34ouIlZJ14pw
"Supplier#000003421"|9JXNyS4VCMDLl4CxDlJ L0
"Supplier#000003445"|L43UvZtnmZ083Izg1GfbPClF0md
"Supplier#000003556"|D w0LbFQEl8rmauLfJ6LXDGqQ9idVMbzqRH1
"Supplier#000003561"|2ORfUZan,Np83utHph8Zh
"Supplier#000003679"|pybVBnBSGTk
"Supplier#000003723"|I1mB,dmtyJpfO8rdEh8 myuhUVPeFs9B
"Supplier#000003795"|bUnbhXqCK1s9lp,8qz0lZlyi4ToUTvRuRBm
"Supplier#000003797"|7x433xWinrgfcH
"Supplier#000003894"|xwkorAQEMfdG
"Supplier#000003918"|FM9w9pzhCqQLAN,aMW
"Supplier#000003994"|5,,f1CXdHg0
"Supplier#000004014"|9BFQUs,95XDgR2
"Supplier#000004111"|MmbQznC8UxRhr5zc7JZAeJy,
"Supplier#000004140"|0KfTnit2HOkf
"Supplier#000004165"|w7hYN2daqScYCIRSdUn7XTDNju03gnZ
"Supplier#000004207"|zlUWBwIceWjG4HdYE80M0V4xqIfu
"Supplier#000004236"|OF0jbzhEkICu2z8BDRvEBGx4H y0EoNhScU8
"Supplier#000004278"|QpNNPCpui5CrnIR
"Supplier#000004281"|,cvbjKrbKIuMxz0J18VMrYXhndIBvG
"Supplier#000004353"|QWjLbIR63XWxbYjUQUuCKsTC M53
"Supplier#000004371"|H oBuUwd,Mi,UQeJMrfJU5v7nt
"Supplier#000004542"|eh8Pfin C2lYtZ Y nIgL
"Supplier#000004588"|rFTQEBMfO5n1GOkIENBdl4B,5pRXA,I
"Supplier#000004655"|VTdApPWryXckXlSRcrizB4dAWHkQbCw2f
"Supplier#000004769"|jCEYiNohWWqI4j
"Supplier#000004847"|Bzj2t2fGt8ACT4EPUyL1BdZtOLvAX3mZPqrF
"Supplier#000004884"|XY1ZxgtMRD DUQ7lpdNrOiSru
"Supplier#000004961"|k7jazDwDxAnQglzwOIS 9
"Supplier#000004975"|lbAVbfg2U4u
"Supplier#000004987"|s6luZyBhSexcwKlIqS
"Supplier#000005015"|kc3CJPSnSgir2uY5icfrWmwyNE7Av39C
"Supplier#000005076"|4FTJRJLKwikEAulgK4LjhWkHQxrpGb
"Supplier#000005300"|L3kYS3ABu6
"Supplier#000005426"|SnsYc67ZAr PWpgUZFHa,3Hbp39bwc
"Supplier#000005465"|VXO21ND1p92UZXa,lQCk01zEDpVsFR
"Supplier#000005484"| QlNcarA4Trl20XRzbAIJqQZZfCYYBpCd,pzb gC
"Supplier#000005485"|Gb6tnkUz2qVGywmPYVPWKw2E6h yi36OxOUz
"Supplier#000005505"|OYzPHlWXgvfb3
"Supplier#000005506"|dDrLVuBsC4Lp
"Supplier#000005536"|esCRylGBKPk70m1Xn0TTf2gFWRJZo
"Supplier#000005631"|,W75 IFsCY9hmp2pnKBew7Fwv9Ao
"Supplier#000005686"|MY9pgNOY7ZeiITt9re
"Supplier#000005809"|d80H4ynFl,FzbEh6i3ql h5kHaz
"Supplier#000006059"|XE,OwTevhRu3YwFwir1
"Supplier#000006084"|Lw0wLL0qBApaXT8uYc,wYkz 
"Supplier#000006093"|hhd6K,CN67Zvyo8ZzUb kXnULO
"Supplier#000006099"|R1IFvbg2n76bCg
"Supplier#000006109"|A2VKPMJXNgkDtFOb67bkpvDPM
"Supplier#000006215"|IYImP8zF0Vc4NA42TGZtJi8PTByII1GHnibnC
"Supplier#000006217"|a5dYX927RHND6MQ5k36N
"Supplier#000006346"|,6eq8ErcKt,DKEk4BRtuXy6
"Supplier#000006370"|YJ64K2Un4vYW2uQSYflAq61kKVRVHM
"Supplier#000006478"|Qa2bDIRFBE5X6
"Supplier#000006492"|k03UMyF84Xg5t,xvNe
"Supplier#000006529"|ooiOAbk0w,ZmONI2lodTyOXK
"Supplier#000006607"|YlrYMZKAnVyVp
"Supplier#000006642"|e0o6OG8A9fiO8Ssb
"Supplier#000006645"|VUQy kUVUU,Eyppwj0s2wY0k
"Supplier#000006669"|eaW2 uHUYWCTgVX
"Supplier#000006706"|rGWKQ1MbxZb1UoXBG AHDzQ3,LuwA8SwGPM
"Supplier#000006863"|nFlOEMjDYD
"Supplier#000006946"|8CU8FD,kh7BOiwn
"Supplier#000007072"|Zy9t3SeZQrX9OEVUzTTRmZqdkSHFBg
"Supplier#000007132"|vCDwD0hqaigXBSG3Grjo,l88n9687o
"Supplier#000007147"|4sPZUHoUXvFf52Mv6mKp0K3lwkGH7VJbBA
"Supplier#000007183"|VL4REvDatSZphjc12W,oU7fCV,1zPlaPurqk 
"Supplier#000007274"| k3kyD3gP,B3H NerCI0,Vscb
