ps_partkey|value
393251|20382773.62
534271|19554795.32
828067|19354244.05
1878002|19163817.20
28091|19108633.28
1598052|18718989.58
1106308|18685549.06
930028|18634219.75
1682288|18284365.73
562641|18259785.46
1851682|18051795.53
1816921|17629582.82
931685|17590775.02
1635077|17529603.70
1919946|17487557.86
934033|17461048.49
1133018|17372161.80
400628|17196246.29
522272|16983646.48
702073|16904884.21
126900|16900272.58
1220502|16831931.36
147567|16698735.98
1563225|16670296.94
136004|16647760.04
1391883|16590006.15
532620|16516621.56
162645|16484838.04
1200840|16453046.57
1073301|16427739.50
1501926|16395744.18
556105|16371257.04
1427098|16355688.68
853075|16329475.98
447567|16306006.94
231043|16150116.00
1699887|16082332.02
388969|16072841.00
1036607|16066027.65
1797709|16065860.00
1062881|16063126.94
750029|16062525.89
1122259|15972383.48
158015|15971789.85
609218|15945199.80
1093618|15938213.35
1361218|15894114.51
179769|15874361.52
775172|15799889.10
1908307|15790701.90
1128323|15713273.40
1528076|15702259.54
1577568|15635453.71
718259|15626960.77
1943754|15617783.64
1371258|15610663.47
1740391|15603192.84
47548|15581747.24
1359347|15573471.34
1284579|15572352.63
738740|15569042.22
1161661|15541387.18
1163959|15534865.00
1294905|15531048.18
63380|15511279.17
6243|15503189.64
17611|15497082.92
1199396|15449618.14
1238588|15411363.99
1998135|15379074.10
926673|15374531.96
200368|15355363.66
415554|15352192.27
204166|15271862.48
708504|15225172.54
526951|15215834.59
11851|15210727.19
808696|15208930.63
1956684|15181765.64
1404880|15172910.71
1665214|15141972.63
437591|15105646.39
30457|15066161.66
988060|15061166.64
1043219|15056211.57
1869641|15048083.46
760870|15013730.88
1952268|14992365.84
185182|14967802.06
1343604|14955845.79
938863|14954618.40
174886|14949804.65
1461454|14947498.77
1289832|14946380.41
500181|14932944.64
1064381|14916678.78
411839|14915084.06
315983|14904581.59
669338|14895952.00
712076|14883025.08
1228549|14873884.50
1044789|14857091.85
1495894|14843382.41
780418|14795575.02
771443|14783825.56
3091|14781632.12
1011317|14764740.81
922887|14758219.92
1409276|14752671.78
353741|14751147.06
1652855|14749184.40
1294229|14740096.40
738666|14714977.79
971069|14708180.44
1861211|14702912.11
1103199|14697667.85
1722015|14695483.54
1633571|14684861.14
1796704|14662171.14
1999869|14634526.91
285158|14606447.80
97548|14592630.75
230943|14572081.95
100648|14553072.00
203901|14543948.55
1543511|14537271.61
819391|14532324.16
1759860|14512561.51
618217|14487110.12
636269|14483922.35
955430|14462965.49
834224|14462828.91
762240|14453037.75
541185|14408043.06
1088656|14393496.88
1716522|14385986.49
254415|14362787.34
259662|14339122.25
