c_name|c_custkey|o_orderkey|o_orderdate|o_totalprice|sum(l_quantity)
"Customer#001287812"|1287812|42290181|1997-11-26|558289.17|318.00
"Customer#000644812"|644812|2745894|1996-07-04|557664.53|304.00
"Customer#001172513"|1172513|36667107|1997-06-06|550142.18|322.00
"Customer#000399481"|399481|43906817|1995-04-06|549431.65|312.00
"Customer#000571654"|571654|21213895|1992-01-03|549380.08|327.00
"Customer#000667882"|667882|2199712|1996-09-30|542154.01|327.00
"Customer#001492954"|1492954|30332516|1996-03-10|541181.80|310.00
"Customer#001471966"|1471966|1263015|1997-02-02|540476.80|320.00
"Customer#001082018"|1082018|31018979|1995-12-06|537993.05|304.00
"Customer#001114039"|1114039|30417318|1995-10-31|536420.39|305.00
"Customer#000870061"|870061|17812705|1992-03-20|535422.02|301.00
"Customer#001221100"|1221100|34748294|1997-11-22|533199.98|307.00
"Customer#001101754"|1101754|46794464|1992-04-28|532623.90|320.00
"Customer#000253643"|253643|58441889|1997-08-30|532485.39|308.00
"Customer#000933919"|933919|5200102|1997-01-22|532057.45|304.00
"Customer#000555376"|555376|22040514|1997-09-22|527114.86|308.00
"Customer#001130668"|1130668|18869634|1995-01-10|525679.10|310.00
"Customer#000591466"|591466|55799200|1996-02-11|524209.45|327.00
"Customer#001296343"|1296343|28346247|1992-11-01|523740.15|310.00
"Customer#000406811"|406811|47953029|1995-01-14|523581.51|303.00
"Customer#001196317"|1196317|34509573|1995-10-15|522897.01|318.00
"Customer#000634048"|634048|36327201|1992-04-25|519634.30|315.00
"Customer#001308376"|1308376|28077922|1996-10-27|518711.99|319.00
"Customer#000473176"|473176|11484962|1992-02-10|518544.68|306.00
"Customer#000008782"|8782|29294434|1993-01-05|518140.85|322.00
"Customer#000061768"|61768|46486080|1997-05-02|517881.34|314.00
"Customer#000948784"|948784|35999840|1993-09-15|517688.62|309.00
"Customer#000948259"|948259|29089474|1994-04-18|516193.66|302.00
"Customer#001093786"|1093786|5746311|1996-10-10|513757.93|302.00
"Customer#000158578"|158578|53246051|1993-01-24|513721.96|301.00
"Customer#001341685"|1341685|26707522|1996-01-02|513357.44|311.00
"Customer#000789988"|789988|49864035|1995-11-05|513213.66|308.00
"Customer#001492924"|1492924|18152960|1998-02-17|512954.28|305.00
"Customer#000480784"|480784|16424550|1994-03-11|512906.88|301.00
"Customer#001458101"|1458101|30768103|1993-04-12|512801.73|306.00
"Customer#001232356"|1232356|52340710|1993-01-01|512292.83|320.00
"Customer#000773671"|773671|30567815|1996-03-03|512201.38|303.00
"Customer#000299162"|299162|38643041|1994-07-21|512074.82|304.00
"Customer#000287270"|287270|37531878|1997-03-20|512044.58|315.00
"Customer#000149305"|149305|44769410|1996-06-28|511963.95|311.00
"Customer#000960277"|960277|8319046|1995-10-07|510321.90|307.00
"Customer#000024484"|24484|41588929|1998-03-28|509719.48|303.00
"Customer#001247930"|1247930|59138305|1993-10-31|509372.97|321.00
"Customer#001058674"|1058674|30218567|1992-04-09|508704.15|303.00
"Customer#000357649"|357649|51184261|1998-07-05|508562.74|315.00
"Customer#000015127"|15127|34551296|1998-04-12|508442.04|312.00
"Customer#001080199"|1080199|37282215|1992-04-18|507778.23|312.00
"Customer#000634264"|634264|46678469|1995-01-27|507548.21|307.00
"Customer#000488812"|488812|33928775|1995-10-13|507547.09|302.00
"Customer#000455380"|455380|4527553|1994-05-22|507330.29|305.00
"Customer#000609727"|609727|10603495|1998-04-03|507129.55|307.00
"Customer#001483156"|1483156|52312869|1992-06-14|507065.74|308.00
"Customer#000998485"|998485|51532000|1992-10-27|506996.90|319.00
"Customer#000350203"|350203|28309383|1993-12-31|506745.51|301.00
"Customer#000998174"|998174|40753383|1997-01-14|506271.45|302.00
"Customer#001179178"|1179178|2869152|1996-06-20|505142.88|317.00
"Customer#001374451"|1374451|5489475|1997-05-23|505059.18|311.00
"Customer#000295255"|295255|14389831|1996-11-04|504817.43|301.00
"Customer#000942725"|942725|48881602|1993-09-19|504197.89|327.00
